id,name,author,translator,publisher
120773,عمق های اندیشه,رمضان صادقی مقدم $ نسیم کارخانه,,انتشارات نظری
120775,فی النثر العباسی,سید محمدرضا خضری,,انتشارات سمت
120776,در عرض یک سال به آنچه می خواهید دست پیدا کنید,جیسون هاروی,مهدی قراچه‌داغی,نشر آسیم
120777,مدیریت مدرن و فناوری اطلاعات,جواد ونارچی $ مریم نیک اندیش $ سیده مریم طاهرزاده موسویان $ بهناز فیاضی,,نشر عطران
120778,آموزش تکنیکال تریدینگ,علیرضا فرهبد,,نشر عطران
120779,تخیلات روحی,جواهر حمیدی,,انتشارات نظری
12078,هفته‌نامه کرگدن ـ شماره ۶ ـ ۱۱ خرداد ۹۵,,,هفته‌نامه کرگدن
120780,اوتیسم,یوتا فریت,علیرضا آشوری,نشر افکار
120782,آداب معاشرت برای همه,ماری میچل $ جان کور,ژاله طاهرنسب,نشر افکار
120785,راه های موفقیت شغلی,محمدحسین جیگاره,,انتشارات نظری
120786,آزادی,احسان نراقی,,نشر افکار
120787,آنارشیسم,کالین وارد,محمودرضا عبداللهی,نشر افکار
12079,هفته‌نامه کرگدن ـ شماره ۷ ـ ۱۸ خرداد ۹۵,,,هفته‌نامه کرگدن
120790,هرکول و آغل آوگیاس,فریدریش  دورنمات,میرحمید عمرانی,انتشارات مهراندیش
120793,تقدیر,یلدا خلخالی,,انتشارات نظری
120795,مادرها شاعر می شوند,زهرا محمدی,,انتشارات نظری
120797,عشق و انتظار,جواهر حمیدی,,انتشارات نظری
120798,هیچ کس تا بی نهایت,آرزو پناهی,,انتشارات نظری
1208,شهروند - ۱۳۹۴ شنبه ۱۹ ارديبهشت,,,روزنامه شهروند
12080,هفته‌نامه کرگدن ـ شماره ۸ ـ ۲۵ خرداد ۹۵,,,هفته‌نامه کرگدن
120801,نوشته های ماشین تحریر,تام هنکس,سلمان ثابت,آوانامه
120805,شور عشق (دفترچه خاطرات),نیکلاس اسپارکس,مهدی سجودی مقدم,انتشارات مهراندیش
120809,زمین و آسمان,فاطمه ساعتچی,,انتشارات نظری
12081,هفته‌نامه کرگدن ـ شماره ۹ ـ ۱ تیر ۹۵,,,هفته‌نامه کرگدن
