id,name,author,translator,publisher
84253,صداها,هرولد پینتر,علی امینی‌نجفی,چتر فیروزه
84255,روان اسطوره شناسی های هنری,بهروز عوض‌پور $ سهند محمدی‌خبازان $ ساینا محمدی‌خبازان,,انتشارات سخن
84256,ایران ورزشی - ۱۳۹۹ چهارشنبه ۲۱ آبان,,,روزنامه ایران ورزشی
8426,از روزگار رفته: چهره به چهره با ابراهیم گلستان,حسن  فیاد $ سعید  پورعظیمی,,نشر ثالث
84260,دردسر در مدرسه,استن برنشتاین $ جان برنشتاین,سیده اندیشه عبدی اسکوئی,انتشارات آرمان رشد
84261,دردسرهای پول,استن برنشتاین $ جان برنشتاین,سیده اندیشه عبدی اسکوئی,انتشارات آرمان رشد
84262,روزنامه سازندگی ـ شماره ۷۹۷ ـ ۲۱ آبان ۹۹,,,روزنامه سازندگی
84264,تاب‌آوری,,فرخ بافنده,کتاب‌های صوتی کتابسرای نیک
84265,مصیبت های شاغل بودن,آلن دوباتن,محمد کریمی,کتاب‌های صوتی کتابسرای نیک
84266,سینه فیلیا و تاریخ,کریستین کیثلی,مهدی نصراله‌زاده,نشر بیدگل
84267,هفته‌نامه شما ـ شماره ۱۳۱۱ ـ ۱۹ مهر ۹۹,,,نشریه شما
84268,راه و سنگ,علی‌اصغر ایزدی,,انتشارات آرمان رشد
84269,داستان حیوانات,فرزانه تاجی,,انتشارات متخصصان
8427,هر زنی درخت خود را می‌شناسد: گزیده شعر زنان ترک,ملیسا  گورپینار $ لاله  مولدور $ بجان  ماتور $ دیدم  ماداک $ گل سلی  اینال,طاهره  میرزایی,بوتیمار
84270,آدولف ه,اریک ایمانوئل اشمیت,محمد همتی,کتاب‌های صوتی کتابسرای نیک
84272,آفتاب نهان,خشایار فخریان,,کتاب‌های صوتی کتابسرای نیک
84273,زیبای خفته,هانس کریستین اندرسن $ گریس د.لا.تاچ,سحر عظیمی,انتشارات آرمان رشد
84274,با این کتاب زندگی را معنا کنید,,,انتشارات شکیب
84275,اتاق عمل (عمومی و تخصصی),مریم حیدربیگی $ ژیلا لاویان,,انتشارات نویسندگان آزاد
84276,بررسی و طبقه بندی ضرب المثل های گیلکی,محمد پرحلم,,فرهنگ ایلیا
84277,هنر چاق بودن,رامبد خانلری,,نشر قناری
84278,علوم اجتماعی (عمومی و تخصصی),ندا عابدینی $ زهره رهنمای‌آذر,,انتشارات نویسندگان آزاد
84279,سفر به دنیای عارفه,عارفه یاوری,,انتشارات آرمان رشد
8428,آخرین پردۀ بیژن و منیژه,علی قانع,,انتشارات سوره مهر
84280,مالکیت خصوصی در اسلام,واحد پژوهش و تدوین نشر آماره,,نشر آماره
84281,بخواه، برآورده خواهد شد,,,انتشارات شکیب
84282,استانداری (عمومی و تخصصی),حمید مهدوی‌راد $ کیانوش کیاکجوری $ سپهر دشتی‌رحمت‌آبادی,,انتشارات نویسندگان آزاد
84283,فناوری اطلاعات IT (عمومی و تخصصی),نیلوفر فرج‌پور $ نوید بابایی $ ایمان رضایی,,انتشارات نویسندگان آزاد
84285,کارشناس امور مالیاتی (عمومی و تخصصی),حسین‌علی اسماعیلی $ نوید بابایی $ حمید مهدوی‌راد,,انتشارات نویسندگان آزاد
84286,سندباد,جنت هاردی‌گلد,رویا حاج‌زاده دباغی,انتشارات آرمان رشد
84287,بهداشت حرفه ای (عمومی و تخصصی),الهام سلطان‌محمدی $ ریحانه حمزه‌ای,,انتشارات نویسندگان آزاد
84288,بهداشت محیط (عمومی و تخصصی),نرگس خواتون فتحیان $ الهام سلطان‌محمدی $ مرتضی بیرامی‌ظاهر,,انتشارات نویسندگان آزاد
84289,بیمه بازرگانی (عمومی و تخصصی),نسترن حیدربیگی $ نسرین حیدربیگی,,انتشارات نویسندگان آزاد
8429,گزارش موسیقی ـ ۷۵,,,ماهنامه گزارش موسیقی
84290,صدف نبوت ۴,غلامرضا سازگار,,موسسه هلال
84292,بیمه تامین اجتماعی (عمومی و تخصصی),حمید مهدوی‌راد $ منصور عابدینی,,انتشارات نویسندگان آزاد
84293,پرستاری (عمومی و تخصصی),ریحانه حمزه‌ای $ نرگس خواتون فتحیان $ زهرا فتحیان,,انتشارات نویسندگان آزاد
84294,تربیت بدنی (عمومی و تخصصی),سپهر دشتی‌رحمت‌آبادی $ احمد عابدینی $ نوید بابایی,,انتشارات نویسندگان آزاد
84295,جوشکاری (عمومی و تخصصی),احمد عابدینی $ فرزین بزازی,,انتشارات نویسندگان آزاد
84296,حقوق (عمومی و تخصصی),شاهرخ نادری $ رضا ترابی‌فارسانی,,انتشارات نویسندگان آزاد
84297,دادگستری (عمومی و تخصصی),شاهرخ نادری $ رضا ترابی‌فارسانی,,انتشارات نویسندگان آزاد
84298,روانشناسی (عمومی و تخصصی),سروش دشتی‌رحمت‌آبادی $ مرتضی بیرامی‌ظاهری,,انتشارات نویسندگان آزاد
84299,صدف نبوت ۵,غلامرضا سازگار,,موسسه هلال
843,لبخند غیرمجاز,اسماعیل امینی,,انتشارات سوره مهر
8430,اعتماد - ۱۳۹۵ شنبه ۱۴ فروردين,,,روزنامه اعتماد
84300,شهرداری (عمومی و تخصصی),عسل فرج‌پور $ ندا عبدالوند $ الهام سلطان‌محمدی,,انتشارات نویسندگان آزاد
84301,استخدامی صنایع چوب,احمد عابدینی $ علی بهمن‌آبادی,,انتشارات نویسندگان آزاد
84303,صنایع غذایی (عمومی و تخصصی),مریم حیدربیگی $ ژیلا لاویان,,انتشارات نویسندگان آزاد
84304,علوم آزمایشگاهی (عمومی و تخصصی),سروش دشتی‌رحمت‌آبادی $ وحید حسینی,,انتشارات نویسندگان آزاد
84305,علوم تربیتی (عمومی و تخصصی),سروش دشتی‌رحمت‌آبادی $ نسترن حیدربیگی,,انتشارات نویسندگان آزاد
84306,عمران (عمومی و تخصصی),بهروز تعالی $ ندا عبدالوند,,انتشارات نویسندگان آزاد
84307,گمرک (عمومی و تخصصی),حسین‌علی اسماعیلی $ حمید مهدوی‌راد,,انتشارات نویسندگان آزاد
84308,مامایی (عمومی و تخصصی),ریحانه حمزه‌ای $ ژیلا لاویان,,انتشارات نویسندگان آزاد
84309,محیط زیست (عمومی و تخصصی),حمیده سرمست $ سیدمهدی ابراهیمی,,انتشارات نویسندگان آزاد
8431,خراسان - ۱۳۹۵ شنبه ۱۴ فروردين,,,روزنامه خراسان
84310,مددکاری اجتماعی (عمومی و تخصصی),ژیلا لاویان $ مریم حیدربیگی,,انتشارات نویسندگان آزاد
84312,معدن (عمومی و تخصصی),بهروز تعالی $ هومن صدیقی,,انتشارات نویسندگان آزاد
84313,مهندسی صنایع (عمومی و تخصصی),عسل فرج‌پور $ مرضیه تعالی,,انتشارات نویسندگان آزاد
84314,مهندسی نفت (عمومی و تخصصی),احمد عابدینی $ علی بهمن‌آبادی,,انتشارات نویسندگان آزاد
84316,میراث فرهنگی (عمومی و تخصصی),سروش دشتی‌رحمت‌آبادی $ رضا صدیقی $ ندا عابدینی,,انتشارات نویسندگان آزاد
84317,هوشبری (عمومی و تخصصی),احمد عابدینی $ علی بهمن‌آبادی,,انتشارات نویسندگان آزاد
84319,یادگیری ماشین با R,آبهیجیت قاتاک,رمضان عباس نژادورزی $ مژگان الیکائی آهاری $ جواد وحیدی,انتشارات فناوری نوین
8432,کیهان - شنبه ۱۴ فروردين ۱۳۹۵,,,روزنامه کیهان
84320,رشد تحصیلی فراتر از رشد کنونی,حمید اسکندری نسب $ علی‌اصغر اسکندری‌نسب,,انتشارات ماهواره
84322,من عاشق نمی شوم اما,بانوفرخ رزمی,,انتشارات آذرفر
84326,شرح شکن زلف خم اندر خم جانان,کامبیز شادلو,,انتشارات نظری
84327,آرمان - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه آرمان ملی
84328,جوان - پنجشنبه ۲۲ آبان ۱۳۹۹,,,روزنامه جوان
84329,آفتاب یزد - ۲۲ آبان ۱۳۹۹,,,روزنامه آفتاب یزد
8433,جوان - شنبه ۱۴ فروردين ۱۳۹۵,,,روزنامه جوان
84330,ابتکار - ۲۲ آبان ۱۳۹۹,,,روزنامه ابتکار
84331,بهار - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه بهار
84332,وطن امروز - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه وطن امروز
84333,ایران ورزشی - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه ایران ورزشی
84334,مردم‌سالاری - ۲۲ آبان ۱۳۹۹,,,روزنامه مردم سالاری
84335,ایران - ۲۲ آبان ۱۳۹۹,,,روزنامه ایران
84336,شهروند - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه شهروند
84337,خراسان - ۱۳۹۹ پنج شنبه ۲۲ آبان,,,روزنامه خراسان
84338,کیهان - پنجشنبه ۲۲ آبان ۱۳۹۹,,,روزنامه کیهان
84339,ماهنامه مدیریت رسانه ـ شماره ۵۰ ـ مهر 99,,,ماهنامه مدیریت رسانه
8434,وطن امروز - ۱۳۹۵ شنبه ۱۴ فروردين,,,روزنامه وطن امروز
84340,معجزه ماساژ درمانی,مسعود دامن‌افشان,,انتشارات متخصصان
84342,صدف نبوت ۷,غلامرضا سازگار,,موسسه هلال
84343,روزنامه سازندگی ـ شماره ۷۹۸ ـ ۲۲ آبان ۹۹,,,روزنامه سازندگی
84344,تاثیرات زمانه,ندا ثابتی,,انتشارات ندای کارآفرین
84345,دبیری علوم اجتماعی (عمومی و تخصصی),الهام سلطان‌محمدی $ ندا عابدینی,,انتشارات نویسندگان آزاد
84346,دبیری فناوری اطلاعات IT (عمومی و تخصصی),نوید بابایی $ سپهر دشتی‌رحمت‌آبادی,,انتشارات نویسندگان آزاد
84347,تجربه های جهانی سازگاری معماری با اقلیم,ویلی وبر $ سیموس یاناس,مرضیه آزاد ارمکی $ رضوانه اصغری,انتشارات شهرسازی
84348,دبیری زبان و ادبیات انگلیسی (عمومی و تخصصی),سارینا زین‌العابدینی $ زهرا عابدینی,,انتشارات نویسندگان آزاد
8435,مردم‌سالاری - ۱۳۹۵/۰۱/۱۴,,,روزنامه مردم سالاری
84350,آموزگار ابتدایی (عمومی و تخصصی),ندا عابدینی $ زهرا حسینی,,انتشارات نویسندگان آزاد
84351,دبیری تاریخ (عمومی و تخصصی),علی بهمن‌آبادی $ مرتضی بیرامی‌ظاهر,,انتشارات نویسندگان آزاد
84352,هنرآموز تاسیسات (عمومی و تخصصی),احمد عابدینی $ علی بهمن‌آبادی,,انتشارات نویسندگان آزاد
84354,می توانی اگر بخواهی,جوئل اوستین,مریم خسروخانی,انتشارات یوشیتا
84355,فرار از زندان ذهن,متیو مک کی $ کاترین ساتکر,محسن شعبانی,انتشارات یوشیتا
84356,فهم فقهی و سیاست معاصر,منصور میراحمدی,,انتشارات لوگوس
84359,بوف کور در سایه روشن قرن,علی تسلیمی,,نشر ماه و خورشید
8436,ایران ورزشی - ۱۳۹۵ شنبه ۱۴ فروردين,,,روزنامه ایران ورزشی
84360,دبیری تربیت بدنی (عمومی و تخصصی),سپهر دشتی‌رحمت‌آبادی $ نازنین بابایی,,انتشارات نویسندگان آزاد
84361,دبیری جغرافیا (عمومی و تخصصی),سپهر دشتی‌رحمت‌آبادی $ عباس دوستی‌محمدی,,انتشارات نویسندگان آزاد
84362,هنرآموز حسابداری,عباس دوستی‌محمدی,,انتشارات نویسندگان آزاد
84363,دبیری هنر (عمومی و تخصصی),ندا عابدینی $ زهرا عابدینی,,انتشارات نویسندگان آزاد
84364,دبیری روان‌شناسی و علوم تربیتی (عمومی و تخصصی),سروش دشتی‌رحمت‌آبادی $ مرتضی بیرامی‌ظاهری,,انتشارات نویسندگان آزاد
84365,هنرآموز ساخت و تولید (عمومی و تخصصی),علی بهمن‌آبادی $ ژیلا لاویان,,انتشارات نویسندگان آزاد
84366,هنرآموز عمران - ساختمان (عمومی و تخصصی),ندا عبدالوند $ بهروز تعالی,,انتشارات نویسندگان آزاد
84367,دبیری شیمی (عمومی و تخصصی),پوریا باباخانی $ سروش دشتی‌رحمت‌آبادی,,انتشارات نویسندگان آزاد
84368,هنرآموز صنایع چوب (عمومی و تخصصی),احمد عابدینی $ علی بهمن‌آبادی,,انتشارات نویسندگان آزاد
84369,دبیری صنایع غذایی (عمومی و تخصصی),مریم حیدربیگی $ ژیلا لاویان,,انتشارات نویسندگان آزاد
8437,ایران - ۱۳۹۵ شنبه ۱۴ فروردين,,,روزنامه ایران
84370,دبیری صنایع فلزی (عمومی و تخصصی),علی بهمن‌آبادی $ عباس دوستی‌محمدی,,انتشارات نویسندگان آزاد
84371,هنرآموز طراحی دوخت (عمومی و تخصصی),مرضیه تعالی $ مریم حیدربیگی,,انتشارات نویسندگان آزاد
84372,دبیری زبان و ادبیات فارسی (عمومی و تخصصی),زهرا حسینی,,انتشارات نویسندگان آزاد
