id,name,author,translator,publisher
142610,جادوهای همیشگی؛ جلد دوم,کریس کالفر,الهام فیاضی,انتشارات پرتقال
142611,مقاومت مصالح (جلد اول),عبدالمجید جواهرزاده $ مهدی صمدزاد,,انتشارات دانشگاه تهران
142612,سرگذشت استعمار (جلد هشتم: به دنبال کادی),مهدی میرکیایی,,نشر سماوا
142613,رویکرد حل مسئله در درمان مشکلات جنسی (راهنمای درمانگر),جان وینکس,عطااله محمدی,انتشارات ارجمند
142614,مقدمات نوروسایکولوژی,سیدسعید پورنقاش تهرانی,,انتشارات دانشگاه تهران
142615,مقاومت مصالح (جلد دوم),عبدالمجید جواهرزاده $ مهدی صمدزاد,,انتشارات دانشگاه تهران
142616,پیشرانه ها و مواد منفجره,نامینوسوکی کابوتا,نرگس زهری $ جمشید نجف پور $ علیرضا اکبر,انتشارات دانشگاه جامع امام حسین
142617,مقابله با بیابان زایی و تخریب اراضی,یانگ یولین $ لارا اس. جین $ ویکتور اسکوایرز $ کیم کیونگ سو $ سو و پارک های $ پارک های مین,محمد جعفری $ فاطمه تقی زاده اصل,انتشارات دانشگاه تهران
142618,روش های ریاضی در فیزیک (جلد اول),اسماعیل احمدی آذر,,انتشارات دانشگاه جامع امام حسین
142619,قطعات نیمه هادی الکترونیک نوری (جلد دوم),پالاب بهاتاچاریا,شهرام محمدنژاد,انتشارات دانشگاه جامع امام حسین
14262,قدس - یکشنبه ۲۳ آبان ۱۳۹۵,,,روزنامه قدس
142620,روانخوانی فارسی اول ابتدایی,نفیسه خاکسار $ سمانه مشایخی,,انتشارات نور علم
142621,ایمونولوژی و ورزش,لارل تی. مکینون,طاهره موسوی شبستری $ مجتبی عبداللهی,انتشارات دانشگاه جامع امام حسین
142622,سرمایه گذاری در متاورس,متاورس .,سلیمه صدیقی,نشر کتاب مهربان
142623,زمین شناسی مهندسی,حسن صادقی,,انتشارات دانشگاه جامع امام حسین
142624,رهایی از میگرن,داون ا. مارکوس,مرضیه بابایی,انتشارات ارجمند
142625,سازماندهی و سازمان رزم و تحولات آن در تاریخ اسلام,اصغر قائدان,,انتشارات دانشگاه جامع امام حسین
142626,مهندسی ابرسیستم ها,رنی استیونس,حسینعلی حسن پور $ مصطفی زارعی $ عباس طهماسبی $ هاتف فتوحی,انتشارات دانشگاه جامع امام حسین
