id,name,author,translator,publisher
110185,گرسنه چه چیز هستید؟,دیپاک چوپرا,سیما ره‌شناس,نشر گویا
110186,دانه های خوشمزه,منیره عابدی $ پریسا اختیاری,,انتشارات یار مانا
110187,روباه نارنجی و طبل ترسناک,منیره عابدی $ پریسا اختیاری,,انتشارات یار مانا
110188,شغال رنگارنگ,منیره عابدی $ پریسا اختیاری,,انتشارات یار مانا
11019,نماز بهترین سبک مدیریت کار و زندگی,علی نورمحمدی,,انتشارات نورسا
110190,مادرجان موشی,منیره عابدی $ پریسا اختیاری,,انتشارات یار مانا
110191,نیلا و دانه های گندم,منیره عابدی $ پریسا اختیاری,,انتشارات یار مانا
110192,کلارا و خورشید,کازوئو ایشی گورو,احسان کاظمی,نشر گویا
110193,آزردگان و خوارشدگان,فیودور داستایفسکی,علي سلامي,نشر گویا
110195,جنایت,جان اشتاین‌بک,مهرداد وثوقی,آوانامه
110196,در جست و جوی خویشتن,دیوید بروکس,علي سلامي $ محسن صالحی اصیل,نشر گویا
110197,سریال شنیدنی شوایک (قسمت پانزدهم),یاروسلاو هاشک,کمال ظاهری,رادیو گوشه
110198,روزنامه سازندگی ـ شماره ۱۰۶۵ ـ ۱۲ آبان ۱۴۰۰,,,روزنامه سازندگی
110199,یکی از ما خواب است,یورفین کلوگارت,پگاه منفرد,نشر گویا
1102,ابرار ورزشی - ۱۳۹۴/۲/۸,,,روزنامه ابرار ورزشی
11020,سنگاپور,نیکو  زهادی,,فرهنگ رسانه پویا
110200,هوای بی دود,سعید پورصمیمی,,نشر گویا
110201,سرنوشت در دست کلوتیلد,جووانینو گوارسکی,هاله ناظمی,نشر گویا
110202,زیتون طلایی (ویژه دانش آموزان اول و دوم ابتدایی),شهرام گیوی $ راهله رشیدیان‌فر $ فهیمه علی خواستی,,انتشارات یار مانا
110203,رمزگشایی رمز ارز,رابرت کیوساکی,امیرحسین پنائی‌پور,انتشارات نظری
110204,هر واژه یک بذر است,سوزانا تامارو,هاله ناظمی,نشر گویا
110205,سرانجام دلباختگی,شیوا همتی,,انتشارات نظری
110206,شب آفتاب,حسین کریمی,,انتشارات نظری
110208,مجموعه داستان های کوتاه نفس,,,انتشارات نظری
110209,سیر تا پیاز اینستاگرام,ابوالفضل کرمی $ مریم جعفری‌مراد $ مجید اسمعیلی اتویی $ اصغر رمضانی $ محمدمهدی ذوالفقاری,,انتشارات مانیان
11021,الزامات حقوقی تحقق سیاست های کلی اقتصاد مقاومتی,علی بهادری جهرمی $ علی فتاحی زفرقندی,,پژواک عدالت
110211,اصالت,پریسا دولتی,,انتشارات آئی سا
110212,مکانیک کوانتومی ابرتقارنی,آسیم گانگوپادیایا $ جفری مالو $ کنستانتین راسیناریو,طه کوهرخی $ میترا گرایلو $ سیدجمال‌الدین حسینی‌خواه $ فاطمه محمودی,انتشارات دانشگاه گلستان
110213,ایران - ۱۳ آبان ۱۴۰۰,,,روزنامه ایران
110214,خراسان - ۱۴۰۰ پنج شنبه ۱۳ آبان,,,روزنامه خراسان
110215,جوان - پنجشنبه ۱۳ آبان ۱۴۰۰,,,روزنامه جوان
110216,آفتاب یزد - ۱۳ آبان ۱۴۰۰,,,روزنامه آفتاب یزد
110217,وطن امروز - ۱۴۰۰ پنج شنبه ۱۳ آبان,,,روزنامه وطن امروز
110218,ایران ورزشی - ۱۴۰۰ پنج شنبه ۱۳ آبان,,,روزنامه ایران ورزشی
110219,رژیم غذایی کیتوجنیک,,,انتشارات مهراندیش
11022,خویشتن مقدس شما,وین دایر,مهدی اصغرپور,انتشارات پر
110220,لطفا مراقب مامان باشین,کیونگ سوک شین,مهدی سجودی مقدم,انتشارات مهراندیش
110222,با لایلا,کلی ریمر,باران عابدنیا,انتشارات مهراندیش
110223,به رنگ حبیب,صادق عباسی ولدی,,نشر شهید کاظمی
110224,به عقب برنمیگردیم,محمدامین میمندیان,,نشر شهید کاظمی
110225,پروپوزارت,فاطمه سادات رضوی علوی,,نشر شهید کاظمی
110226,تاریخ با تک ماده,محمدحسن‌ ‌ کوره پز,,نشر شهید کاظمی
110227,تدبیرهای کلیدی برای موفقیت,امین صالحی,,نشر شهید کاظمی
110228,تنها در باغ زیتون,صادق عباسی‌ولدی,,نشر شهید کاظمی
110229,چالش هسته ای؛ جلد ۲,سیدمحمود نبویان,,نشر شهید کاظمی
11023,قدرت انعطاف پذیری,دیمیان هیوز,سمانه  فلاح,انتشارات طاهریان
110230,خسارت محض و دیپلماسی هسته‌ای,ابراهیم کارخانه‌ای,,نشر شهید کاظمی
110231,دادگاه اشیاء,رضا عیوضی,,نشر شهید کاظمی
110232,در پس غبار,محسن فامیل زرگریان,,نشر شهید کاظمی
110233,دریای چشمان تو,امیرحسین انبارداران,,نشر شهید کاظمی
110234,رد پای پدر,سمیه اسلامی $ منور ولی‌نژاد,,نشر شهید کاظمی
110235,شمرون کناردون,سارا عرفانی,,نشر شهید کاظمی
110236,عارف بارانی,مصیب معصومیان,,نشر شهید کاظمی
110237,کد ۹۹,سیدعلی نقیب,,نشر شهید کاظمی
110238,گینفش,امین شفیعی,,نشر شهید کاظمی
110239,لبخند ابراهیم,معصومه جواهری,,نشر شهید کاظمی
11024,کازابلانکا,ژولیوس جی. اپستاین $ فیلیپ جی. اپستاین $ هاوارد کاچ,سون‌یاز سلطانی,سفیدسار
110240,مشق مدیریت,یدالله کریم‌زاده,,نشر شهید کاظمی
110241,من محافظ حاج قاسمم,هاجر پورواجد,,نشر شهید کاظمی
110242,همراهی تا آسمان,صادق عباسی ولدی,,نشر شهید کاظمی
110243,همیشه در کنارت هستم,سبحان خسروی,,نشر شهید کاظمی
110244,ژنتیک در کودکان,,ایمان وفایی,انتشارات رزیدنت یار
110245,داستان های بااجازه,,اسدالله امرایی,نشر گویا
110246,تصوف,عرفان گوندوز,توفیق هـ سبحانی,نشر گویا
110247,برنامه ی جشن رسمی سالیانه وزارت معارف,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110248,بمناسبت تشریف فرمائی اعلیحضرت ملک سعود,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110249,بناهای تاریخی قزوین,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
11025,مردم‌سالاری - ۱۳۹۵/۰۴/۳۰,,,روزنامه مردم سالاری
110250,به یاد شرافت نوشاهی,سیدعارف نوشاهی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110251,بهداری در اتحاد شوروی,ن. وینوگرادف,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110252,بیاد هند,علی‌اصغر حکمت,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110253,بیست چهارمین راپرت وزارت مالیه,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110254,بیست و دومین راپرت رئیس کل مالیه ایران,خسرو هوتن $ حسین هوتن,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110255,بیلان کار,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110256,آینده تو,برایان دیوید جانسون,سیده ژاله موسوی نصر,انتشارات کهکشان دانش
110257,بیماریهای واگیر در دامها,رحمت الله فتحی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110258,بین الشیعة و اهل السنة,سلیمان دنیا,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110259,پریزیدنت الوب خان راجع به بحران کشمیر,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
11026,ایران ورزشی - ۱۳۹۵ چهارشنبه ۳۰ تير,,,روزنامه ایران ورزشی
110260,پند نامه اهوازی,علی مجوسی اهوازی ارجانی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110261,پیشرفت سریع اسلام,لورا واکسیاواگیری,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110262,پیمان خاور میانه,رحمت الله مقدم مراغه,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110263,تاریخ ابن غنام,حسین ابن غنام,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110264,تاریخ ارمنستان,موسی خورن,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110265,تاریخ الامارة الافرسیابیة,محمد الخال,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110266,تاریخ الجزیرة العربیة,حسین الشیخ خزعل,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110267,تاریخ طوس او المشهد الرضوی,محمدمهدی علوی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110268,تاریخ علم الفلک فی العراق,عباس العزاوی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110269,تاریخ کربلا المعلی,عیسی الزروق,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
11027,ایران - ۱۳۹۵ چهارشنبه ۳۰ تير,,,روزنامه ایران
110270,تاریخ محاربه ی روس و ژاپان,,محمود طرزی,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110272,تاریخ مختصر افغانستان کنفرانس,سیدعلی اصغر عدیلی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110273,تاریخ معارف اصفهان,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110275,تاریخچه فارسی دری زبان همگانی ایرانیان,محمدعلی امام شوشتری,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110276,تاریخچه مختصری از بنادر قدیم و اطلاعاتی از بنادر کنونی,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110277,تاریخچه مختصری از خدمات فرهنگی دبیرستان دخترانه پرتو,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110278,تاریخچه ی محتصر مبارزات در راه تحصیل و تاسیس پاکستان,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
11028,راه مردم - ۱۳۹۵ چهارشنبه ۳۰ تير,,,روزنامه راه مردم
110280,تازه های آماری ۲ سال ۱۳۶۶,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110281,تالیف عالم متبحر آقا سید جمال الدین معروف بافغانی,سیدجمال الدین الحسینی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110282,تحفة بغداد,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110283,تحقیق البحران,,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110284,تحول و تکامل دموکراسی در ایران,احمد امیرقدسی,,کتابخانه مرکزی و مرکز اسناد دانشگاه تهران
110285,مدیریت بر مدیریت ناپذیر,آر کی جین,مهیار سرحدی $ حسن محمدرضایی بیدگلی,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110287,فرهنگ تشریحی واژگان؛ حقوق فناوری اطلاعات,موسسه آموزشی و تحقیقاتی صنایع دفاعی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110288,لینکلن در برزخ,جورج ساندرز,ساره خسروی,انتشارات فانوس دنیا
110289,فرهنگ تشریحی واژگان؛ معماری فناوری اطلاعات,موسسه آموزشی و تحقیقاتی صنایع دفاعی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
11029,ابرار ورزشی - ۱۳۹۵/۴/۳۰,,,روزنامه ابرار ورزشی
110291,نقش و کاربرد رایانه در C4I,احیاء یاوری,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110292,تدوین ره نگاشت برای راهبرد و نوآوری,رابرت فال $ کلیر فرخ,پدرام حیدرنیا $ میرسهیل حسینی $ مجید صمصامی,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110294,ایجاد تاب آوری معنوی و روانی,گرنت اچ. برنز $ دنیل اچ. بوش $ جاشوا موزز,علی لطفی $ علی درخشش,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110296,فرهنگ تشریحی واژگان؛ مدیریت فناوری اطلاعات,موسسه آموزشی و تحقیقاتی صنایع دفاعی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110299,فرهنگ تشریحی واژگان؛ جنگ اطلاعات,موسسه آموزشی و تحقیقاتی صنایع دفاعی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
1103,شهروند - ۱۳۹۴ سه شنبه ۸ ارديبهشت,,,روزنامه شهروند
11030,شهروند - ۱۳۹۵ چهارشنبه ۳۰ تير,,,روزنامه شهروند
110301,سناریوها؛ هنر گفتگوی راهبردی,کیس وندرهیدن,مسعود منزوی,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110302,دستنامه راتلج,جوزف سوئترز $ پاتریشیا ام شیلدز,قاسم فولادی $ وحید زارعی,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110303,سیری در سیاست علم و تکنولوژی شش کشور,سیدکمال طبائیان $ عقیل ملکی‌فر,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110304,آینده فرماندهی و کنترل,,مسعود اسفندیاری,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110305,سرمایه گذاری خطرپذیر؛ از مبانی تا کاربرد,فرزاد طرهانی $ حامد معبودی $ محمداسماعیل مولایی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110306,فرهنگ تشریحی واژگان؛ فرماندهی و کنترل شبکه ای,موسسه آموزشی و تحقیقاتی صنایع دفاعی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110307,علوم شناختی؛ مقدمه ای بر مطالعه ذهن,جی فردنبرگ $ گوردون سیلورمن,محسن افتاده حال $ مصطفی مهرورزی $ زهراسادات قریشی $ آناهیتا خرمی $ سحر صابری,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110309,شناخت سامانه های C4I در نیروهای زمینی,,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
11031,جهان صنعت -  ۳۰ تیر ۱۳۹۵,,,روزنامه جهان صنعت
110310,مروری بر ادبیات و معرفی طرح های مهم C4I,احیاء یاوری $ مهدی فهیمی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
110311,بررسی فنی سیستم های مخابراتی C4I,احیاء یاوری $ محمدباقر نظافتی,,انتشارات موسسه آموزشی و تحقیقاتی صنایع دفاعی
