id,name,author,translator,publisher
162230,گلادیاتور,زهرا کلاته,,انتشارات نگاه
162231,تق و تق و تق رو چوبه نجاره میخ می کوبه,زهرا موسوی,,نشر افق
162232,چشمه می گه با قل قل می خوام برم پیش گل,زهرا موسوی,,نشر افق
162233,قان و قان و قان ماشین مامان,زهرا موسوی,,نشر افق
162234,قوقولی قوقو خروس بود منتظر عروس بود,زهرا موسوی,,نشر افق
162235,صدای سکسکه ت می آد نی نی جون,زهرا موسوی $ مریم اسلامی,,انتشارات با فرزندان
162236,پرسونا,زهره فصل بهار,,شادان
162237,پارادایم معماری الگوریتمیک,زوبین خبازی,,انتشارات کتابکده کسری
162238,زبان، ذهن و فرهنگ,زولتان کووچش,جهانشاه میرزابیگی,انتشارات آگاه
162239,یک گربه یک مرد یک مرگ,زولفو لیوانلی,محمد‌امین سیفی‌اعلا,گروه انتشاراتی ققنوس
16224,اعتماد - ۱۳۹۵ يکشنبه ۲۶ دي,,,روزنامه اعتماد
162240,از آن چه فکر می کنی، شجاع تری,زویی مک کی,فهیمه گدازچیان,انتشارات فراروان
162241,مفهوم ساده روانکاوی,زیگموند فروید,فرید جواهرکلام,انتشارات علمی و فرهنگی
162242,تفسیر خواب,زیگموند فروید,عفت السادات حق گو,انتشارات شباهنگ
162243,روانشناسی فراموشی,زیگموند فروید,مهوش قویمی,انتشارات علمی
162244,یک فنجان چای با بزرگان روانکاوی جهان,,,نشر قطره
162245,اسنیچ های با ستاره و اسنیچ های بی ستاره,زیوس ‍,رضی هیرمندی,نشر افق
162246,آموزش فن و هنر سفالگری,ژاک آتکین,فرناز خوشبخت,انتشارات کتاب آبان
162247,اورمزد و اهریمن,ژاک دوشن گیمن,عباس باقری,نشر فرزان روز
162248,دین ایران باستان,ژاک دوشن گیمن,رویا منجم,نشر علم
162249,استتیک و ناخرسندی هایش,ژاک  رانسیر,فرهاد اکبرزاده,امید صبا
16225,خراسان - ۱۳۹۵ يکشنبه ۲۶ دي,,,روزنامه خراسان
162250,کتابچه تمرین عشق و عاشقی,ژاک سالومه,محمدعلی اردانی,حوض نقره
162251,اروپا مولود قرون وسطی,ژاک لوگوف,بهاالدین بازرگانی گیلانی,انتشارات کویر
162252,نبرد لیمونادی,ژاکلین دیویس,نیلوفر خوش‌زبان,انتشارات پرتقال
162253,فرال ها 1,ژاکوب گری,محمد قصاع,نشر باژ
162254,پنجم دینکرد,ژاله آموزگار $ احمد تفضلی,,انتشارات معین
162255,فیلمنامه فروید,ژان پل سارتر,قاسم روبین,انتشارات ناهید
162256,تعالی اگو,ژان پل سارتر,عادل مشایخی,انتشارات ناهید
162257,کلمات,ژان پل سارتر,امیر جلال الدین اعلم,انتشارات نیلوفر
162258,دیوار,ژان پل سارتر,صادق هدایت,الماس پارسیان
162259,غثیان,ژان پل سارتر,مهدی روشن‌زاده,انتشارات فرهنگ جاوید
16226,کیهان - يکشنبه ۲۶ دی ۱۳۹۵,,,روزنامه کیهان
162260, وحشی ترین ها، مسخره ترین ها، بامزه ترین ها و خفن ترین های دنیا,ژان پین,فاطمه خوشرو,حوض نقره
162261,مغازه خودکشی,ژان تولی,سمیه خالدی,آلاچیق
162262,ریشه های مسیحیت در اسناد بحرالمیت,ژان دانیلو,علی مهدی زاده,ادیان و مذاهب
162263,قرارداد اجتماعی,ژان ژاک روسو,غلامحسین زیرک زاده,قاصدک صبا
162264,سیاها (یک دلقک بازی),ژان ژنه,عاطفه طاهایی,انتشارات اختران
162265,آلبر کامو از شورش تا عشق,ژان فرانسوا ماتئی,جواد فرید,انتشارات ماهریس
162266,کجا می ریم بابا؟,ژان لویی فورنیه,محمدجواد فیروزی,انتشارات نگاه
162267,مدیریت راهبردی نام تجاری,ژان نوئل کاپفرر,سینا قربانلو,نشر مبلغان
162268,باستان شناسی سینما و خاطره یک قرن,ژان لوک گدار,مازیار اسلامی,انتشارات حرفه نویسنده
162269,چیزها,ژرژ پرک,احمد سمیعی,انتشارات علمی و فرهنگی
16227,آرمان - ۱۳۹۵ يکشنبه ۲۶ دي,,,روزنامه آرمان ملی
162270,نانون,ژرژ ساند,قاسم صنعوی,انتشارات دوستان
162271,دیوانه ای در شهر,ژرژ سیمنون,رامین آذربهرام,انتشارات مروارید
162272,مگره و سایه پشت پنجره,ژرژ سیمنون,عباس آگاهی,موسسه فرهنگی هنری جهان کتاب
162273,پرنس شرمان در جستجوی گنج,ژرژ شوله,مهدی ضرغامیان,انتشارات سروش
162274,ادموند گانگلیون و پسر,ژوئل اگلوف,اصغر نوری,نشر افق
162275,سیستم گرید در طراحی گرافیک,ژوزف مولر بروکمان,دژار حقی,انتشارات کتاب آبان
162276,نوجوان و خانواده درمانی,ژوزف میکوچی,مهشید یاسایی,گروه انتشاراتی ققنوس
162277,کوری,ژوزه  ساراماگو,حبیب  گوهری‌راد,انتشارات جمهوری
162278,بیست هزار فرسنگ زیر دریا,ژول ورن,سلماز بهگام,انتشارات ترانه
162279,پنج هفته در بالن,ژول ورن,,آفرینگان
16228,جوان - يکشنبه ۲۶ دی ۱۳۹۵,,,روزنامه جوان
162280,بیست هزار فرسنگ زیر دریا,ژول ورن,مجید عمیق,انتشارات قدیانی
162281,سفر به اعماق آمازون,ژول ورن,سلماز بهگام,انتشارات ترانه
162282,از زمین تا ماه,ژول ورن,محمد نجابتی,آفرینگان
162283,دور ماه,ژول ورن,محمد نجابتی,آفرینگان
162284,دور دنیا در هشتاد روز,ژول ورن,فرزانه مهری,آفرینگان
