id,name,author,translator,publisher
171519,تاریخ تفکر مدیریت,مورگن ویتزل,علی اکبر فرهنگی,انتشارات موسسه جام جم
17152,من زنده‌ام,معصومه  آباد,,انتشارات بروج
171520,رباعیهای خیام,عمر خیام,,انتشارات سخن
171521,کولی و لیلی,فرهاد پورسعیدی,,نشر مهر و دل
171522,تاوان,لئو تولستوی,فرزانه شفیعی,نشر عنوان
171523,باغ یوشی,اورسولا ولفل,کمال بهروزکیا,ویژه نشر
171524,لاکو لاک ندارد,طاهره ایبد,,انتشارات محراب قلم
171525,می می نرفت تولد,ناصر کشاورز,,نشر کتاب نبات
171526,زال و سیمرغ,مهدی مردانی,,آریا نوین
171527,ترس مرد فرزانه  دوم جلد دوم,پاتریک راتفوس,مریم رفیعی,انتشارات بهنام
171528,تو مگر تا کدام نقطه؟,ابوالفضل پاشا,,نشر مهر و دل
171529,فرشتگان و راهنماهای معنوی,آنا ماریا دی مارزو,یاسین قاسمی بجد,انتشارات پل
17153,چشم‌های آبی یک موش کور,سعید ابک,,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
171530,از چشم سیمرغ,محمدابراهیم محجوب,,انتشارات لوح فکر
171531,کوررنگی,شهاب لواسانی,,نشر حکمت کلمه
171532,نفرین بال سوخته (کتاب اول، کابوس پرواز),زهرا افشار زیبا,,انتشارات کتابسرای تندیس
171533,هنر همدردی,آرتور شوپنهاور,علی عبداللهی,نشر مرکز
171534,دره ی مرموز,انید بلایتون,شهناز صاعلی,انتشارات قدیانی
171535,بوطیقای شیطان,علیرضا لبش,,هیلا
171536,من بامزه تر بود,جیمز پترسون,مریم رفیعی,انتشارات گیسا
171537,شهروند شهرهای داستانی,حسن میرعابدینی,,انتشارات دنیای اقتصاد تابان
171538,من، مامانم و بابام رفتن سفر دور!,اعظم مهدوی,,انتشارات علمی و فرهنگی
171539,شعر زبان زبان شعر,علی قنبری,,سرزمین اهورایی
17154,کاندیدای ریاست جمهوری,مارک تواین,غلامرضا  آذرهوشنگ,خانه داستان چوک
171540,بیست ترانه عاشقانه,پابلو نرودا,رضا معتمدی,سرزمین اهورایی
