id,name,author,translator,publisher
49337,روزنامه سازندگی ـ شماره ۲۹۶ ـ ۱۶ بهمن ۹۷,,,روزنامه سازندگی
49338,زندگی‌نامه تصویری آلبرت اینشتین,تری واتسون,مجید عاطفی,دانش نگاران برنا
4934,اولین پنجشنبه: مروری بر زندگی و آثار «ام‌کلثوم» خواننده‌ی بزرگ مصر به همراه ده ترانه‌ی او (فارسی ـ عربی),,محسن ابوالحسنی,بوتیمار
49340,قُلُب قُلُب آب؛ ماهی و قلاب (جلد پنجم),مهری ماهوتی,,نشر سماوا
49341,قار و قار و قار؛ کلاغ و مار (جلد ششم),مهری ماهوتی,,نشر سماوا
49342,لاک‌پشت پرنده (جلد هفتم),مهری ماهوتی,,نشر سماوا
49343,بی‌اهمیت‌ها و با‌اهمیت‌ها,خولیو کورتاسار,نوشین جعفری,کارگاه اتفاق
49344,شهروند - ۱۳۹۷ سه شنبه ۱۶ بهمن,,,روزنامه شهروند
49345,انقلابی می‌مانم,,,انتشارات زائر رضوی
49346,از دورآموزی تا یادگیری الکترونیکی (درس‌هایی که آموختیم),,محمد عطاران $ زینب گلزاری,انتشارات مولفین طلایی
49347,طراحی بازی آموزشی رایانه‌ای,زینب گلزاری,,انتشارات مولفین طلایی
49348,رمز خلاقیت؛ شش مهارت اصلی کارآفرینان خلاق (خلاصه کتاب),امی ویلکینسون,,سبکتو
49349,دوهفته‌نامه همشهری دانستنیها ـ شماره ۲۲۱ ـ نیمه اول بهمن ماه ۹۷,,,مجله دانستنیها
4935,ایران - ۱۳۹۴ يکشنبه ۲۶ مهر,,,روزنامه ایران
49350,روزنامه اقتصاد برتر ـ شماره ۴۲۱ ـ ۱۷ بهمن ۹۷,,,روزنامه اقتصاد برتر
49351,صبح نو ـ شماره ۶۵۱ ـ چهارشنبه ۱۷ بهمن ۹۷,,,روزنامه صبح نو
49352,کیهان - چهارشنبه ۱۷ بهمن ۱۳۹۷,,,روزنامه کیهان
49353,آرمان - ۱۳۹۷ چهارشنبه ۱۷ بهمن,,,روزنامه آرمان ملی
49354,جوان - چهارشنبه ۱۷ بهمن ۱۳۹۷,,,روزنامه جوان
49355,ابتکار - ۱۷ بهمن ۱۳۹۷,,,روزنامه ابتکار
49356,وطن امروز - ۱۳۹۷ چهارشنبه ۱۷ بهمن,,,روزنامه وطن امروز
49357,ایران ورزشی - ۱۳۹۷ چهارشنبه ۱۷ بهمن,,,روزنامه ایران ورزشی
49358,ایران - ۱۷ بهمن ۱۳۹۷,,,روزنامه ایران
49359,قانون - ۱۳۹۷/۱۱/۱۷,,,روزنامه قانون
