id,name,author,translator,publisher
15240,دو هفته نامه راز ـ شماره ۷۸ـ نیمه اول آذر۹۴,,,مجله راز
152400,۱۳ کاری که والدین دارای ذهن قوی انجام نمی دهند,ایمی مورین,منصور بیگدلی,بهار سبز
152401,پرواز تا اوج,گی هندریکز,فرناز فرود,انتشارات کتابسرای تندیس
152402,پرسش های مهم زندگی,راجر اسکروتن,علی اوجبی,نشر خزه
152403,پسران دلیر، جسور و متفاوت (جلد دوم),بن بروک,مینا رمضانی,انتشارات نسل نواندیش
152404,كوچه هفت پیچ,محمدابراهیم باستانی پاریزی,,نشر علم
152405,سال هایی که سینما مهم بود,توماس الزاسر $ الکساندر هورواث $ نوئل کینگ,مازیار اسلامی,نشر چشمه
152406,مجموعه اشعار سیدعلی صالحی (دفتر سوم),سیدعلی صالحی,,انتشارات نگاه
152407,دیگری,یوکیتو آیاتسوجی,احسان محمدزاده,نشر پیدایش
152408,خاک سرد است,فیاض زاهد,,نشر ثالث
152409,قمار دیگر,مصطفی ملایری,,بنگاه ترجمه و نشر کتاب پارسه
15241,دو هفته نامه راز ـ شماره ۷۷ ـ نیمه دوم آبان ۹۴,,,مجله راز
152410,اساطیر و اساطیرواره ها,سیروس شمیسا,,انتشارات شرکت کتاب هرمس
152411,شکرآب,محدثه خالو,,انتشارات سخن
152412,مردان بچه ننه,کنت آدامز,مینا فتحی,انتشارات کتابسرای میردشتی
152413,خاطرات یک بی عرضه آبی (هفت جلدی),پاملا اسپلند,سمیرا ابراهیمی,ایران‌بان
152414,بوستان سعدی,شیخ مصلح الدین سعدی شیرازی,,نشر گویا
152415,عکاس؛ استودیو,جان چایلد,مهدی فاضل,انتشارات کتاب پرگار
152416,خشم شهری,مصطفی دیکچ,مجید ابراهیم‌پور $ بنفشه خسروی $ نیما شکرایی,نشر چرخ
152417,مامان می خوام ورزش کنم,ریبیکا ریتفورد,شکوه قاسم نیا,انتشارات قدیانی
152418,شهر و ستارگان,آرتور کلارک,حسین شهرابی,انتشارات کتابسرای تندیس
152419,آگوس و هیولاها (جلد ششم),ژائومه کوپونس,سعید متین,انتشارات هوپا
15242,دو هفته نامه راز ـ شماره ۷۶ ـ نیمه اول آبان ۹۴,,,مجله راز
152420,درخشان,استیون کینگ,لیلا شاپوریان,انتشارات کتابسرای میردشتی
152421,رولت قفقازی,ویکتور مرژکو,آبتین  گلکار,انتشارات شرکت کتاب هرمس
152422,فهرس,سنان انطون,محمد حزبایی‌زاده,نشر ثالث
152423,در جستجوی آرامش,گابی گارسیا,سپیده بخت,انتشارات مهرسا
152424,اگزیستانسیالیسم؛ قدم اول,ریچارد آپیگنانزی,ابراهیم اسکافی,انتشارات شیرازه
152425,زمان لرزه,کورت ونه گات,مهرآیین اخوت,نشر هیرمند
152426,خواست ناممکن,اسلاوی  ژیژک,کامران برادران,نشر حکمت کلمه
152427,بالاخره این زندگی مال کیه,برایان کلارک,احمد کسایی پور,كارنامه
