id,name,author,translator,publisher
34298,شهروند - ۱۳۹۷ پنج شنبه ۲۴ خرداد,,,روزنامه شهروند
34299,کاهش خواسته در دادرسی‌های مدنی,سید روح اله ترابی $ سید عبداله ترابی,,انتشارات قانون یار
343,نامه سرگشاده مردی از برزخ,سعید پورزنگی آبادی,,انتشارات مهرراوش
3430,اعتماد - ۱۳۹۴ دوشنبه ۱۲ مرداد,,,روزنامه اعتماد
34300,ماهیت حقوقی سود سپرده‌های بانکی در فقه و حقوق اسلامی,سید روح اله ترابی $ سید عبداله ترابی,,انتشارات قانون یار
34301,مبانی حقوقی و مشروعیت تحریم‌های یکجانبه امریکا و تحریم‌های سازمان ملل علیه  جمهوری اسلامی ایران,ناهید صمدی یامچلو,,انتشارات قانون یار
34302,مخالفت رای دادگاه با قوانین موجد حق,فاطمه نجفی,,انتشارات قانون یار
34304,مسئولیت کیفری سازندگان خودرو و میزان تأثیر آن در سوانح رانندگی,محسن شهسواری,,انتشارات قانون یار
34305,مسئولیت کیفری و تأمین امنیت در فضای سایبر,جلیل شکربیگی,,انتشارات قانون یار
34306,مسئولیت کیفری و جزایی خوابگرد در جرائم ارتکابی,علی رزمان,,انتشارات قانون یار
34307,مطالعه ارتباط بین هزینه نمایندگی، سیاست تقسیم سود و رشد شرکت,منصوره زمانی,,انتشارات قانون یار
34308,مقایسه تطبیقی اعاده دادرسی در دیوان عدالت اداری با دیوان عالی کشور,بهروز خاکساری,,انتشارات قانون یار
34309,مقایسه قاعده اقدام با قاعده پذیرش خطر در نظام کامن لا,سکینه نبی $ دکتر عباس کریمی,,انتشارات قانون یار
3431,شرق - ۱۳۹۴ دوشنبه ۱۲ مرداد,,,روزنامه شرق
34310,نظام حاکم بر مجازات اطفال و نوجوانان در حقوق ایران (گذشته، حال، آینده),سحر هادی نژاد عمران,,انتشارات قانون یار
34311,دموکراسی دینی و ولایت فقیه,میلاد یاوری,,انتشارات پشتیبان
34312,دیوانه‌های فوتبال,دومینیک آتون $ دنی دایر,وحید نمازی,نشر چشمه
34313,پسری روی سکوها,حمیدرضا صدر,,نشر چشمه
34314,روزی روزگاری فوتبال (فوتبال و جامعه‌شناسی),حمیدرضا صدر,,نشر چشمه
34315,تاثیر فرهنگ سازمانی بر تعالی سازمان,احسان پوری $ شبنم امیر جاوید,,انتشارات پشتیبان
34316,فوتبال علیه دشمن,سایمون کوپر,عادل فردوسی‌پور,نشر چشمه
34317,نیمکت داغ,حمیدرضا صدر,,نشر چشمه
34318,درآمدی بر هیدرو پلیتیک ایران,سیدمحمدغفار نیکنام راد $ سید ابوالفضل حسینی نیک,,انتشارات پشتیبان
34319,عملیات روانی از نظریه تا عمل,سیدمحمد میرسمیعی $ مرتضی چشمه نور $ جابر پوریانی,,انتشارات پشتیبان
