id,name,author,translator,publisher
131130,فیزیولوژی ورزشی (جلد دوم),ویلیام مک آردل $ فرانک کچ $ ویکتور کچ,اصغر خالدان,انتشارات سمت
131131,نقش پرستار دامپزشکی در دارو درمانی,آماندا راک $ سالی بودن,نوید نیک منش,کلید پژوه
131132,رهبری,الکس فرگوسن,رضا اردلان,شنیدار نگار نوین
131133,کاربرد پلاکت در ترمیم زخم سوختگی,مهدی میرزاجان‌ زاده,,کلید پژوه
131134,مقدمه ای بر مالیه عمومی در اسلام,مجید رضایی دوانی,,انتشارات سمت
131135,تکنیک های جداسازی و تشخیص تا بیماری زایی و درمان سستودها,امید محمدی,,کلید پژوه
131136,آموزش کارآفرینی ‌بر شکل ‌گیری سرمایه انسانی,اسماعیل محبی کندسری,,کلید پژوه
131137,افسانه‌ اسلیپی هالو,واشینگتن ایروینگ,شیوا مقانلو,واوخوان
131138,مدیریت بحران مردم پایه,هادی آخوند‌حفیظی,,کلید پژوه
131139,زندگی ۳.۰,مکس تگمارک,رضا اردلان,شنیدار نگار نوین
13114,ابرار ورزشی - ۱۳۹۵/۷/۱۱,,,روزنامه ابرار ورزشی
131140,ماهنامه مدیریت ارتباطات ـ شماره ۱۴۸ ـ شهریورماه ۱۴۰۱,,,موسسه مطبوعاتی دایره رنگی ایده آل
131141,بازاریابی با طعم ایمیل,شقایق حسین زاده ناصر $ جواد رمضان قربانی,,کلید پژوه
131142,وریتی,کالین  هوور,زهرا رحیمی,نشر سنگ
131144,قوانین طبیعت انسان,رابرت گرین,رضا اردلان,شنیدار نگار نوین
131145,طراحی لباس در میان نگاره های شاهنامه شاه طهماسب,اکرم السادات کریم پور ارمکی,,کلید پژوه
131146,مسیریابی با قابلیت اطمینان در شبکه های حسگر بیسیم,وحید کمالی زیرکی,,کلید پژوه
131147,مثل یک مرد فکر کن، مثل یک زن رفتار کن,استیو هاروی,رضا اردلان,شنیدار نگار نوین
131148,آرایشگری یه بازیه، آرایشگر یه بازیکن,علی عابدی $ محمد خلیلی استادحسین زاده,,کلید پژوه
131149,مزایای دیوار ترومب در مجتمع های مسکونی,شکوفه شیخی,,کلید پژوه
13115,شهروند - ۱۳۹۵ يکشنبه ۱۱ مهر,,,روزنامه شهروند
131150,زبان تخصصی فیزیک,نگین رسولی,,کلید پژوه
131151,ردیابی اشیاء متحرک با استفاده از تکنیک تفاضل گیری,اعظم ارمی,,کلید پژوه
131152,معماری شادمانی,آلن دو باتن,رضا اردلان,شنیدار نگار نوین
131153,عشق ورزی به خود را دوباره بیاموزیم,نیک سالوپو,مسیح رحیمی نژاد $ نگین یزدانی مطلق,انتشارات ترانه پدرام
131154,بادکنک غمگین چطور خوشحال شد؟,جولیا  کوک,عرفانه جوادپور,انتشارات فنی ایران (کتاب های نردبان)
131155,نابغه‌ های تنها و فواید تنهایی,آنتونی استور,رضا اردلان,شنیدار نگار نوین
131156,یک روز خوب می آید,یونگ - آه کیم,افسانه وثوق روحانی,انتشارات فنی ایران (کتاب های نردبان)
131157,باغ پیامبر,جبران خلیل جبران,آرش حجازی,واوخوان
131159,مدیریت سود در شرکت های پذیرفته شده بورس اوراق بهادار تهران,سکینه شهابی,,کلید پژوه
13116,جهان صنعت -  ۱۱ مهر ۱۳۹۵,,,روزنامه جهان صنعت
131160,امور مالی پیمانکاران در شهرداری ها,محمدعلی نیک صفت,,کلید پژوه
131162,کتاب دو بیتی های سبزواری,,,کلید پژوه
131163,انجیل بارنابا,,سیاوش فاتحی ابراهیم آباد,کلید پژوه
131165,جنبه‌ مثبت بی منطق بودن,دن آریلی,رضا اردلان,شنیدار نگار نوین
