id,name,author,translator,publisher
52479,قدرت هوش اجتماعی,تونی بازان,,راوی‌نو
54843,چرتوپیا؛ تاریخ زوال یک اتوپیا به روایت سباستون میکلانکوس,آیدین سیار سریع,,نشر چشمه
5189,حل نهایی,مایکل شیبون,علی معصومی,بوتیمار
5191,خاکستر گرم,شاندور مارائی,مینو مشیری,نشر ثالث
5187,ژان کریستف (نسخه کامل ۴ جلدی),رومن رولان,علی‌اصغر خبره‌زاده,انتشارات نگاه
5292,وقتی از عشق حرف می‌زنیم,ریموند کارور,پریسا سلیمان زاده $ زیبا گنجی,انتشارات مروارید
54843,چرتوپیا؛ تاریخ زوال یک اتوپیا به روایت سباستون میکلانکوس,آیدین سیار سریع,,نشر چشمه
