id,name,author,translator,publisher
100,هفت گام برای شروع موفق یک کسب و کار,نعیم ظفر,محسن؛ سحر حاجیانی؛ بحریه,انتشارات سازمان مدیریت صنعتی
1000,آرزوی شهادت,سید اسماعیل گوهری,,انتشارات علمی فرهنگی الحیاة
10000,شرق - ۱۳۹۵ سه شنبه ۱۸ خرداد,,,روزنامه شرق
100000,محمدعلی فروغی و ساختارهای نوین مدنی,علی‌اصغر حقدار,,انتشارات کویر
100001,روزنامه سازندگی ـ شماره ۹۵۷ ـ ۲۲ خرداد ۱۴۰۰,,,روزنامه سازندگی
100002,مشروطه ناکام,مهدی رهبری,,انتشارات کویر
100003,مکتب در فرآیند تکامل,سیدحسین مدرسی طباطبایی,هاشم ایزدپناه,انتشارات کویر
100004,نشریه سپیدار دانشگاه تهران ـ شماره ۱۷۳ ـ ۱ خرداد ۱۴۰۰,,,نشریه سپیدار
100005,میرزا ملکم خان ناظم الدوله و نظریه پردازی مدرنیته ایرانی,حجت‌الله اصیل,,انتشارات کویر
100006,نگاهی به جامعه شناسی,پروین سازگارا,,انتشارات کویر
100007,نشریه سپیدار دانشگاه تهران ـ شماره ۱۷۴ ـ ۱۸ خرداد ۱۴۰۰,,,نشریه سپیدار
100008,رسم و ضبط و راهنمای تدریس روخوانی و روان خوانی قرآن کریم,علی حبیبی,,شرکت چاپ و نشر بین الملل
100009,راهکارهای علمی و عملی حضور قلب در نماز,سیده‌فاطمه طباطبایی,,شرکت چاپ و نشر بین الملل
10001,آرمان - ۱۳۹۵ سه شنبه ۱۸ خرداد,,,روزنامه آرمان ملی
100010,نشریه سپیدار دانشگاه تهران ـ شماره ۱۷۱ ـ ۳۰ اسفند ۱۳۹۹,,,نشریه سپیدار
100011,نشریه سپیدار دانشگاه تهران ـ شماره ۱۷۰ ـ ۲۰ اسفند ۱۳۹۹,,,نشریه سپیدار
100012,نشریه سپیدار دانشگاه تهران ـ شماره ۱۶۹ ـ ۲۷ بهمن ۱۳۹۹,,,نشریه سپیدار
100013,نشریه سپیدار دانشگاه تهران ـ شماره ۱۶۸ ـ بهمن ۱۳۹۹,,,نشریه سپیدار
100014,نشریه سپیدار دانشگاه تهران ـ شماره ۱۶۷ ـ آذر ماه ۹۹,,,نشریه سپیدار
100015,نشریه سپیدار دانشگاه تهران ـ شماره ۱۶۶ ـ آذر ماه ۹۹,,,نشریه سپیدار
100016,غریبه ای در خانه,شاری لاپنا,عباس زارعی,آوانامه
100017,لیدی الیزابت,آلیسون ویر,طاهره صدیقیان,آوانامه
100018,روزنامه سراسری خوزی‌ها ـ شماره ۱۴۴ ـ دوشنبه ۲۴ خرداد ماه ۱۴۰۰,,,روزنامه خوزی ها
100019,ویژه نامه انتخابات ـ خرداد ماه ۱۴۰۰,,,نشریه دست خط
10002,ضمیمه کلیک روزنامه جام‌جم - شماره ۵۶۷ - ۹ خرداد ۹۵,,,کلیک
100020,ایران - ۲۴ خرداد ۱۴۰۰,,,روزنامه ایران
100021,خراسان - ۱۴۰۰ دوشنبه ۲۴ خرداد,,,روزنامه خراسان
100022,جوان - دوشنبه ۲۴ خرداد ۱۴۰۰,,,روزنامه جوان
100023,آفتاب یزد - ۲۴ خرداد ۱۴۰۰,,,روزنامه آفتاب یزد
100024,وطن امروز - ۱۴۰۰ دوشنبه ۲۴ خرداد,,,روزنامه وطن امروز
100025,ایران ورزشی - ۱۴۰۰ دوشنبه ۲۴ خرداد,,,روزنامه ایران ورزشی
100026,پیوند میان کاربردهای فناوری اطلاعات و ارتباطات و توسعه هدفمند,گروه ترجمه انتشارات آتی‌نگر,,سازمان فناوری اطلاعات ایران
100027,راهنمای آزمایشگاه پیکرسنجی حرکتی و فیزیولوژی ورزشی (جلد اول),,وازگن میناسیان $ محمد علی‌نژاد,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100028,استادی در عشق,دون میگوئل روئیز,فرزام حبیبی اصفهانی,انتشارات لیوسا
100029,فناوری اطلاعات و ارتباطات برای توسعه سیاست ها,ایمنیوئل لالانا,گروه ترجمه انتشارات آتی‌نگر,سازمان فناوری اطلاعات ایران
100030,راهنمای آزمایشگاه پیکرسنجی حرکتی و فیزیولوژی ورزشی (جلد دوم),,وازگن میناسیان $ محمد علی‌نژاد,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100032,طراحی نطق و سخنرانی اقناعی,جمال قمری,,انتشارات لیوسا
100033,هدیه,اسپنسر جانسون,عطیه رفیعی,انتشارات لیوسا
100034,سازگاری عروق خونی به فعالیت ورزشی,مریم نورشاهی $ کمال رنجبر $ حسین طاهری چادرنشین,,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100035,حالا خوب می فهمم,وین دایر,مرجان رزم‌آزما,انتشارات لیوسا
100036,فعالیت جسمانی و رفتار کم تحرک جوانان,آلن ال اسمیت $ استورات. جی. اچ بیدل,شهزاد طهماسبی بروجنی $ فاطمه رضایی $ صنم بیگم قدس میرحیدری,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100037,ما والدین بچه شیعه هستیم,محمد گوگانی $ سحر محبعلی,,انتشارات گوی
100038,ارزهای دیجیتال را از اینجا شروع کنید,علی کشاورز معتمدی $ مرتضی اکبری,,انتشارات گوی
100039,آشپز طوطی باش!,اریکا باسیکن,فاطمه عبدی زاده,انتشارات نوژین
10004,آسیب شناسی آموزش و اشتغال در رشته حقوق,ابوالفضل  درویشوند,,پژواک عدالت
100040,کاربردهای دولت الکترونیک,نگ یئون لی,گروه ترجمه انتشارات آتی‌نگر,سازمان فناوری اطلاعات ایران
100041,توسعه به کمک رسانه های اجتماعی,ایمنیوئل لالانا,گروه ترجمه انتشارات آتی‌نگر,سازمان فناوری اطلاعات ایران
100042,چگونه با آمار دروغ بگوییم,دارل هاف,ایمان اصفهانی,شادن پژواک
100043,مبانی ACSM در تمرین قدرتی و بدن سازی (جلد اول),,محمد شریعت‌زاده $ زهره برهانی کاخکی,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100044,قواعد اقتصاد اطلاعات؛ راهنمای کاربردی اقتصاد شبکه,کارل شاپیرو $ هال آر واریان,حمیدرضا ارباب $ مهدی کرامت‌فر,سازمان فناوری اطلاعات ایران
100045,مبانی ACSM در تمرین قدرتی و بدن سازی (جلد دوم),,محمد شریعت‌زاده $ زهره برهانی کاخکی,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100046,خودشیفته بودن پنهان,گریس لویس,فائزه زارع زردینی,انتشارات نوژین
100047,مقدمه ای بر بازاریابی ورزشی,,محمود جعفرپور $ محمدرضا بهشتی زواره $ صادق حسنی مقدم,انتشارات پژوهشگاه تربیت بدنی و علوم ورزشی
100048,چشمان کهربایی درخت مر,رقیه کبیری,حمزه فراهتی,انتشارات نشانه
100049,تمرکز ده دقیقه‌ای,دنیل والتر,رضا اسکندری آذر,انتشارات ماه آوا
10005,ضمیمه کلیک روزنامه جام‌جم - شماره ۵۶۸ - ۱۶ خرداد  ۹۵,,,کلیک
100050,مانیتیسم شخصی,پل ژاگو,سهیلا زمانی,انتشارات ماه آوا
100052,پرنده ها دیگر نمی ترسند,رقیه کبیری,حمزه فراهتی,انتشارات نشانه
100053,چگونه شغل نگهداری از کودک را مانند یک رئیس مدیریت کنیم؟,لاتویا ویلییامز,حمیدرضا مقدم,انتشارات نوژین
100054,خودآموز فلسفه,مل تامپسون,بهروز حسنی,انتشارات ماه آوا
100055,بازاریابی,برایان تریسی,صبا حقیقی,انتشارات لیوسا
100056,چگونه هر مهارتی را سریع یاد بگیریم؟,,آرمین فیروزگاه,انتشارات نوژین
100057,آرزوهای یک زن,سیدنی شلدون,شراره شهلائی,انتشارات لیوسا
100058,دیدار با جغد جادوگر,جان آر اریکسون,فرزاد فربد,واوخوان
