name,author,translator,publisher
تاریخ تفکر مدیریت,مورگن ویتزل,علی اکبر فرهنگی,انتشارات موسسه جام جم
من زنده‌ام,معصومه  آباد,,انتشارات بروج
رباعیهای خیام,عمر خیام,,انتشارات سخن
کولی و لیلی,فرهاد پورسعیدی,,نشر مهر و دل
تاوان,لئو تولستوی,فرزانه شفیعی,نشر عنوان
باغ یوشی,اورسولا ولفل,کمال بهروزکیا,ویژه نشر
لاکو لاک ندارد,طاهره ایبد,,انتشارات محراب قلم
می می نرفت تولد,ناصر کشاورز,,نشر کتاب نبات
زال و سیمرغ,مهدی مردانی,,آریا نوین
ترس مرد فرزانه  دوم جلد دوم,پاتریک راتفوس,مریم رفیعی,انتشارات بهنام
تو مگر تا کدام نقطه؟,ابوالفضل پاشا,,نشر مهر و دل
فرشتگان و راهنماهای معنوی,آنا ماریا دی مارزو,یاسین قاسمی بجد,انتشارات پل
چشم‌های آبی یک موش کور,سعید ابک,,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
از چشم سیمرغ,محمدابراهیم محجوب,,انتشارات لوح فکر
کوررنگی,شهاب لواسانی,,نشر حکمت کلمه
نفرین بال سوخته (کتاب اول، کابوس پرواز),زهرا افشار زیبا,,انتشارات کتابسرای تندیس
هنر همدردی,آرتور شوپنهاور,علی عبداللهی,نشر مرکز
دره ی مرموز,انید بلایتون,شهناز صاعلی,انتشارات قدیانی
بوطیقای شیطان,علیرضا لبش,,هیلا
من بامزه تر بود,جیمز پترسون,مریم رفیعی,انتشارات گیسا
شهروند شهرهای داستانی,حسن میرعابدینی,,انتشارات دنیای اقتصاد تابان
من، مامانم و بابام رفتن سفر دور!,اعظم مهدوی,,انتشارات علمی و فرهنگی
شعر زبان زبان شعر,علی قنبری,,سرزمین اهورایی
کاندیدای ریاست جمهوری,مارک تواین,غلامرضا  آذرهوشنگ,خانه داستان چوک
بیست ترانه عاشقانه,پابلو نرودا,رضا معتمدی,سرزمین اهورایی
اخلاق حرفه ای وکالت و مشاوره,سعید نظری توکلی,,انتشارات کتاب طه
شک نکن,نانسی کرولیک,,نشر هیرمند
راهکار,فیل اشتوتس,سحر امین,گروه انتشاراتی ققنوس
حباب سخنگو,محمدرضا شمس,,نشر افق
روزنوشت های ست گادین,ست گودین,,انتشارات کلید آموزش
اجاق سرد,نیما یوشیج,,سرزمین اهورایی
قصه زندگی ات را عوض کن,تیبو موریس,,آلاچیق
مشتری خودکار,جان واریلو,,انتشارات آموخته
مجموعه به من بگو خدا کیست؟ (2زبانه),غلامرضا حیدری ابهری,,نشر جمال
شرط‌بندی,آنتوان چخوف,حسین کارگر بهبهانی,خانه داستان چوک
ماشین کلیمانجارو,ری بردبری,,کتاب پنجره
دخترعموی من راشل,دافنه دوموریه,داریوش شاهین,انتشارات بدرقه جاویدان
شکمبارگی,فرانسین پروز,نسترن ظهیری,گروه انتشاراتی ققنوس
راپسودی فرانسوی,آنتوان لورن,مهسا ابهری,فرهنگ آرش
چشم آهو,علی اصغر سیدآبادی,,انتشارات شهر قلم
شیر بی مزه,مجید محبوبی,,نشر جمال
رنگ آمیزی فاجعه بار مستر بین و رفقا,آنا برت,,حوض نقره
در جستجوی اسپینوزا,آنتونیو داماسیو,,انتشارات نگاه معاصر
تا موسم باران,داینا جفریز,,انتشارات نفیر
خواب کفش,افسانه شعبان نژاد,,انتشارات سوره مهر
چاقوی بزرگ,کلیفرد اودتس,,انتشارات علمی و فرهنگی
کرکس. مغزچوبی ها. کمبوجیه,سودابه فضایلی,,نشر نقره
با آسمان سرزمین من آشتی کنید!,نسرین نوش امینی,,خانه ادبیات
بدن خود را پر از اکسیژن کنید,اد مک کیب,لادن شریعت زاده,انتشارات نسل نواندیش
اصول مشاوره,جان سی مکسول,مهدی قراچه داغی,نشر پیکان
این جا کسی مرده؟,ضحی کاظمی,,انتشارات مروارید
100 واژه اول من(مهندس کوچولو),کریس فری,,پرستو قلم چی
آواز لال,محمد سهرابی,,انتشارات جمهوری
خاطرات جلیل بزرگمهر از دکتر محمد مصدق,جلیل بزرگمهر,,انتشارات ناهید
