name,author,translator,publisher
شهروند - ۱۳۹۷ پنج شنبه ۲۴ خرداد,,,روزنامه شهروند
کاهش خواسته در دادرسی‌های مدنی,سید روح اله ترابی $ سید عبداله ترابی,,انتشارات قانون یار
نامه سرگشاده مردی از برزخ,سعید پورزنگی آبادی,,انتشارات مهرراوش
اعتماد - ۱۳۹۴ دوشنبه ۱۲ مرداد,,,روزنامه اعتماد
ماهیت حقوقی سود سپرده‌های بانکی در فقه و حقوق اسلامی,سید روح اله ترابی $ سید عبداله ترابی,,انتشارات قانون یار
مبانی حقوقی و مشروعیت تحریم‌های یکجانبه امریکا و تحریم‌های سازمان ملل علیه  جمهوری اسلامی ایران,ناهید صمدی یامچلو,,انتشارات قانون یار
مخالفت رای دادگاه با قوانین موجد حق,فاطمه نجفی,,انتشارات قانون یار
مسئولیت کیفری سازندگان خودرو و میزان تأثیر آن در سوانح رانندگی,محسن شهسواری,,انتشارات قانون یار
مسئولیت کیفری و تأمین امنیت در فضای سایبر,جلیل شکربیگی,,انتشارات قانون یار
مسئولیت کیفری و جزایی خوابگرد در جرائم ارتکابی,علی رزمان,,انتشارات قانون یار
مطالعه ارتباط بین هزینه نمایندگی، سیاست تقسیم سود و رشد شرکت,منصوره زمانی,,انتشارات قانون یار
مقایسه تطبیقی اعاده دادرسی در دیوان عدالت اداری با دیوان عالی کشور,بهروز خاکساری,,انتشارات قانون یار
مقایسه قاعده اقدام با قاعده پذیرش خطر در نظام کامن لا,سکینه نبی $ دکتر عباس کریمی,,انتشارات قانون یار
شرق - ۱۳۹۴ دوشنبه ۱۲ مرداد,,,روزنامه شرق
نظام حاکم بر مجازات اطفال و نوجوانان در حقوق ایران (گذشته، حال، آینده),سحر هادی نژاد عمران,,انتشارات قانون یار
دموکراسی دینی و ولایت فقیه,میلاد یاوری,,انتشارات پشتیبان
دیوانه‌های فوتبال,دومینیک آتون $ دنی دایر,وحید نمازی,نشر چشمه
پسری روی سکوها,حمیدرضا صدر,,نشر چشمه
روزی روزگاری فوتبال (فوتبال و جامعه‌شناسی),حمیدرضا صدر,,نشر چشمه
تاثیر فرهنگ سازمانی بر تعالی سازمان,احسان پوری $ شبنم امیر جاوید,,انتشارات پشتیبان
فوتبال علیه دشمن,سایمون کوپر,عادل فردوسی‌پور,نشر چشمه
نیمکت داغ,حمیدرضا صدر,,نشر چشمه
درآمدی بر هیدرو پلیتیک ایران,سیدمحمدغفار نیکنام راد $ سید ابوالفضل حسینی نیک,,انتشارات پشتیبان
عملیات روانی از نظریه تا عمل,سیدمحمد میرسمیعی $ مرتضی چشمه نور $ جابر پوریانی,,انتشارات پشتیبان
هفته‌نامه اقتصاد برتر ـ شماره ۸۰ ـ۱۲ مرداد ۹۴,,,روزنامه اقتصاد برتر
کلیات در دفاع غیر عامل,سیدمحمد میرسمیعی,,انتشارات پشتیبان
دفاع غیر نظامی در برابر تهدیدات نظامی,مهدی فرجادکیا $ بهنام کاظمی $ محمدرضا فدایی نایینی,,انتشارات پشتیبان
تحلیل گفتمان چیست؟,استفنی تیلور,عرفان رجبی $ پدرام منیعی,نشر نویسه پارسی
روانشناسی زبان,ایچ ویند کولز,حوریه احدی,نشر نویسه پارسی
"Tehran Times - Fri June ۱۵, ۲۰۱۸",,,Tehran Times
کتاب تنهایی (دفتر اول),محمدرضا زائری,,احیاء
کتاب تنهایی (دفتر دوم),محمدرضا زائری,,احیاء
کتاب تنهایی (دفتر سوم),محمدرضا زائری,,احیاء
"Tehran Times - Sat June ۱۶, ۲۰۱۸",,,Tehran Times
اثر قبض و اقباض در عقد فاسد و باطل,احمد زارع,,انتشارات قانون یار
احکام ارث در قانون ایران,علی اکبر توکلی,,انتشارات قانون یار
احکام خیار شرط موضوع ماده ۳۹۹ قانون مدنی,مهدی کریمی $ علی اکبر توکلی,,انتشارات قانون یار
امتیازات و حقوق شاکی و متهم در قوانین کیفری,بیژن کاظمی سنجانی,,انتشارات قانون یار
بازبینی مطلق و مقید در قانون,مهدی کریمی $ علی اکبر توکلی,,انتشارات قانون یار
بررسی جزایی جرایم رایانه‌ای و سایبری,محمدرضا دوکوهکی,,انتشارات قانون یار
بیمه، مهریه، نفقه و اجرت‌المثل,اکرم اکبری,,انتشارات قانون یار
تعهدات منع تبعیض در موافقت‌نامه عمومی تعرفه و تجارت,خلیل شیخ محمدی,,انتشارات قانون یار
جایگاه حقوقی قوه قضاییه در پیشگیری از وقوع جرم,محمد صبح دل,,انتشارات قانون یار
جایگزین‌های حبس و زندان در حقوق جزای ایران,کورش زارع,,انتشارات قانون یار
