name,author,translator,publisher
غرب میانه؛ قسمت نهم,اسکوتی یانگ,محسن شکاری,کمیک سیتی
کدو قلقله زن,,,انتشارات قصه‌لند
نمایشگاه در مدرسه؛ اسناد روزمره در گذر تاریخ,محرم نقی‌زاده,,موسسه مدارس یادگیرنده مرآت
نوبهار دل و جان (اردو),سید‌علی خامنه‌ای,,انتشارات بین‌المللی الهدی
راهنمای عملی نگارش طرح درس,محرم آقازاده $ محرم نقی‌زاده,,موسسه مدارس یادگیرنده مرآت
نوبهار دل و جان (انگلیسی),سید‌علی خامنه‌ای,,انتشارات بین‌المللی الهدی
مدارس و مراکز آموزشی غیردولتی,اله‌کرم لیروای,,موسسه مدارس یادگیرنده مرآت
باغ تلو,مجید قیصری,,نشر کتاب کوچه
Male 2,,آرش رنجبر,انتشارات رزیدنت یار
نوبهار دل و جان (عربی),سید‌علی خامنه‌ای,,انتشارات بین‌المللی الهدی
پری‌خان خاتون,معصومه  پاکروان,,انتشارات پر
فیزیوپاتولوژی کلیه‌ها و انسداد,,آرش رنجبر,انتشارات رزیدنت یار
جامع السعادت (انگلیسی),محمد مهدی نراقی,,انتشارات بین‌المللی الهدی
جزیره‌ی شاتر,دنیس لهان,کورش سلیم‌زاده,نشر چشمه
بیماری‌های ریوی شغلی ۲,,پریسا فاضل کیا $ مریم شفاعت,انتشارات رزیدنت یار
پاریس زیرزمینی,اتا شایبر,شهلا طهماسبی,نشر چشمه
مزرعه,تام راب اسمیت,نادر قبله‌ای,نشر چشمه
گیتار,ضحی کاظمی,,نشر کتاب کوچه
بی‌نهایت بلند و به غایت نزدیک,جاناتان سفران فوئر,لیلا نصیری‌ها,نشر چشمه
قطارباز,احسان نوروزی,,نشر چشمه
آسمان مال من بود؛ خاطرات سرهنگ خلبان صمدعلی‌ بالازاده,ساسان  ناطق,,انتشارات سوره مهر
دختر پیچ,سعیده شفیعی,,نشر چرخ
جهاد (انگلیسی),مرتضی مطهری,,انتشارات بین‌المللی الهدی
حقوق بشر از دیدگاه اسلام (انگلیسی),,,انتشارات بین‌المللی الهدی
WebGIS برای مدیریت حوادث و شرایط اضطراری,ریفت عبدالا $ ماروا اسمیل,حسین جعفریان,انتشارات ماهواره
حلال و حرام در اسلام (انگلیسی),یوسف قرضاوی $ عباس صادقی,,انتشارات بین‌المللی الهدی
محبت را گران نخرید,مینا خداکریمیان,,نشر عطران
داستان راستان ۱ (انگلیسی),مرتضی مطهری,رضا حمیدی,انتشارات بین‌المللی الهدی
داستان راستان ۲ (انگلیسی),مرتضی مطهری,رضا حمیدی,انتشارات بین‌المللی الهدی
فرهنگ تصویری کلاه ها,پدرام حکیم زاده,,شهر پدرام
کورالاین,نیل گیمن,فرزاد فربد,انتشارات پریان
فرهنگ تصویری کیف ها,پدرام حکیم زاده,,شهر پدرام
ماهنامه چوک ـ شماره ۱۱۸ ـ خرداد ۹۹,,,خانه داستان چوک
روزنامه اقتصاد برتر - شماره ٧١۵ - ٣١ اردیبهشت ٩٩,,,روزنامه اقتصاد برتر
حنا، دختری در گاندی,ناصر کاظمی,,نشر آواژ
تاریخ تمدن ایران؛ امپراطوری ساسانیان,کاوه فرخ,ایران نعمتی,نشر وزرا
"Cultural Viewpoints of the Leader of the Islamic Revolution of Iran, Ayatollah Seyed- Ali Khameniei",سید‌علی خامنه‌ای,,انتشارات بین‌المللی الهدی
سیری در نهج البلاغه (انگلیسی),مرتضی مطهری,,انتشارات بین‌المللی الهدی
موجبات مسئولیت مدنی و آثار آن,عباس  خواجه پیری,,انتشارات بین‌المللی الهدی
خاله باف‌باف,فروزنده خداجو,,انتشارات سروش
شناخت خدا (انگلیسی),محمدجواد باهنر,توفیق محمدی,انتشارات بین‌المللی الهدی
THE INTERNATIONAL JEW,هنری فورد,,انتشارات بین‌المللی الهدی
علی و فلسفه الهی (انگلیسی),سیدمحمدحسین طباطبایی,فاضل اسدی امجد,انتشارات بین‌المللی الهدی
(ALI (A.S,ابن ابی الحدید مقتولی,,انتشارات بین‌المللی الهدی
قادیانیه (انگلیسی),,مژگان جلالی,انتشارات بین‌المللی الهدی
Mansik of Haj,سید‌علی خامنه‌ای,,انتشارات بین‌المللی الهدی
منهج‌الفقه الاسلامی,سیدهاشم موسوی,,انتشارات بین‌المللی الهدی
"Islamic Revolution of Iran, A sociological Study, volume 1",,صدرالدین موسوی,انتشارات بین‌المللی الهدی
Vol.1 .No.2 Winter 2005 DIALOGUE,,,انتشارات بین‌المللی الهدی
ابرار ورزشی - ۱۳۹۳/۱۲/۲۸,,,روزنامه ابرار ورزشی
مگی کسیدی,جک  کرواک,یگانه وصالی,انتشارات مروارید
DIALOGUE - Vol.1 - No.3 - Spring 2005,,,انتشارات بین‌المللی الهدی
ماجراجویی بزرگ هربی,جنی پو,سارا مسعودی ثابت,آوا رسا
فرهنگ لغت فارسی (ملایو),,,انتشارات بین‌المللی الهدی
وجوب حفظ آثار نبوی در مدینه منوره و مشروعیت تبرک به آن,ابی مجاهد عبد العزیز الفتاح القاری,حسن  خاکرند,انتشارات بین‌المللی الهدی
امام خمینی ستاره درخشانی که هرگز غروب نمی کند,چارلز ساسون,,انتشارات بین‌المللی الهدی
ملاصدرا و فلسفه‌ی متعالی (انگلیسی),طوبی کرمانی,,انتشارات بین‌المللی الهدی
اختر چرخ ادب,محمدمهدی احمدی,,انتشارات بین‌المللی الهدی
بیرون و درون,نیکولا بوویه,مریم جلالی فراهانی,انتشارات نصیرا
شیمی ۳ و آزمایشگاه، سال سوم آموزش متوسطه  (رشته های علوم تجربی و ریاضی فیزیک),رضا سلامت,,موسسه علمی رزمندگان
فصلنامه نمای نزدیک ـ شماره ۲۱ ـ تابستان ۹۸,,,فصلنامه نمای نزدیک
حکایت یک اسکناس,محمود نامنی,,نشر آسیم
شهامت رهبری,برنه براون,هانیه چوپانی,شادن پژواک
کتابچه شهامت رهبری,برنه براون,هانیه چوپانی,شادن پژواک
گاهنامه بارکد ـ شماره ۲ ـ فروردین ۹۹,,,گاهنامه بارکد
نواختن ویولون با اره,محمد مرادی نصاری,,انتشارات نصیرا
فصلنامه آسپاد ـ شماره ۲ ـ پاییز ۹۸,,,فصلنامه آسپاد
برخورد کوتاه؛ جلد اول,یزدان سلحشور,,انتشارات نصیرا
گاهنامه ارغوان ـ شماره ۷ ـ آذر ۹۸,,,گاهنامه ارغوان
عاشقی با زبان دیپلماتیک,راضیه بهرامی خشنود,,انتشارات نصیرا
پنج رازی که هر کس قبل از مرگ باید بداند,جان  ایزو,سمانه  فلاح,انتشارات طاهریان
فصلنامه اکسیر ـ شماره ۸ ـ بهار ۹۹,,,فصلنامه اکسیر
