name,author,translator,publisher
گلادیاتور,زهرا کلاته,,انتشارات نگاه
تق و تق و تق رو چوبه نجاره میخ می کوبه,زهرا موسوی,,نشر افق
چشمه می گه با قل قل می خوام برم پیش گل,زهرا موسوی,,نشر افق
قان و قان و قان ماشین مامان,زهرا موسوی,,نشر افق
قوقولی قوقو خروس بود منتظر عروس بود,زهرا موسوی,,نشر افق
صدای سکسکه ت می آد نی نی جون,زهرا موسوی $ مریم اسلامی,,انتشارات با فرزندان
پرسونا,زهره فصل بهار,,شادان
پارادایم معماری الگوریتمیک,زوبین خبازی,,انتشارات کتابکده کسری
زبان، ذهن و فرهنگ,زولتان کووچش,جهانشاه میرزابیگی,انتشارات آگاه
یک گربه یک مرد یک مرگ,زولفو لیوانلی,محمد‌امین سیفی‌اعلا,گروه انتشاراتی ققنوس
اعتماد - ۱۳۹۵ يکشنبه ۲۶ دي,,,روزنامه اعتماد
از آن چه فکر می کنی، شجاع تری,زویی مک کی,فهیمه گدازچیان,انتشارات فراروان
مفهوم ساده روانکاوی,زیگموند فروید,فرید جواهرکلام,انتشارات علمی و فرهنگی
تفسیر خواب,زیگموند فروید,عفت السادات حق گو,انتشارات شباهنگ
روانشناسی فراموشی,زیگموند فروید,مهوش قویمی,انتشارات علمی
یک فنجان چای با بزرگان روانکاوی جهان,,,نشر قطره
اسنیچ های با ستاره و اسنیچ های بی ستاره,زیوس ‍,رضی هیرمندی,نشر افق
آموزش فن و هنر سفالگری,ژاک آتکین,فرناز خوشبخت,انتشارات کتاب آبان
اورمزد و اهریمن,ژاک دوشن گیمن,عباس باقری,نشر فرزان روز
دین ایران باستان,ژاک دوشن گیمن,رویا منجم,نشر علم
استتیک و ناخرسندی هایش,ژاک  رانسیر,فرهاد اکبرزاده,امید صبا
خراسان - ۱۳۹۵ يکشنبه ۲۶ دي,,,روزنامه خراسان
کتابچه تمرین عشق و عاشقی,ژاک سالومه,محمدعلی اردانی,حوض نقره
اروپا مولود قرون وسطی,ژاک لوگوف,بهاالدین بازرگانی گیلانی,انتشارات کویر
نبرد لیمونادی,ژاکلین دیویس,نیلوفر خوش‌زبان,انتشارات پرتقال
فرال ها 1,ژاکوب گری,محمد قصاع,نشر باژ
پنجم دینکرد,ژاله آموزگار $ احمد تفضلی,,انتشارات معین
فیلمنامه فروید,ژان پل سارتر,قاسم روبین,انتشارات ناهید
تعالی اگو,ژان پل سارتر,عادل مشایخی,انتشارات ناهید
کلمات,ژان پل سارتر,امیر جلال الدین اعلم,انتشارات نیلوفر
