name,author,translator,publisher
داستان های مرزبان نامه,علی اصغر بشیری,,آرایان
جنگل غول ها,توماس مان,ابوتراب سهراب,انتشارات شرکت کتاب هرمس
بندپایان از سر تا دم,استیسی ردریک,فروغ فرجود,انتشارات فاطمی
جوان - پنجشنبه ۲۵ آذر ۱۳۹۵,,,روزنامه جوان
یکی بود یکی نبود,محمدعلی جمالزاده,,نشر علم
مردی که به شیکاگو رفت,ریچارد رایت,مریم حاجونی,نشر افق
نشانگان بالغ درون,علی شمیسا,,انتشارات نسل نواندیش
روباه مزرعه,آیلین دانلپ,گلی امامی,نشر چشمه
معلمم آدم فضایی شده,پملا بوچرت,اختر اعتمادی,انتشارات هوپا
شما و رادیو,شاهرخ نادری,,انتشارات بدرقه جاویدان
من می توانم!,لوری رایت,وحید توکل صدیقی,انتشارات صابرین
نشانه شناسی,امیرعلی نجومیان,,انتشارات مروارید
دزد آذرخش,ریک ریوردان,وحیده نوروززاده چگینی $ سوده ونکی,سایه گستر
شعرهای لالایی,معصومه جودت,,انتشارات برف
آفتاب یزد - ۲۵ آذر ۱۳۹۵,,,روزنامه آفتاب یزد
شعرهای تولد,معصومه جودت,,انتشارات برف
صبر ایوب,اکرم السادات فیض آبادی,,انتشارات برف
پانتومیم,ناصر آقایی,,انتشارات نودا
آن جا که عرب نی انداخت,مریم خسروجردی,,انتشارات برف
یک کلاغ چهل کلاغ,اکرم السادات فیض آبادی,,انتشارات برف
یک خشت هم بگذار در دیگ,اکرم السادات فیض آبادی,,انتشارات برف
نه شیر شتر نه دیدار عرب,فاطمه کلاته سیفری,,انتشارات برف
چوب توی آستین کردن,فاطمه کلاته سیفری,,انتشارات برف
خر کریم را نعل کردن,فاطمه کلاته سیفری,,انتشارات برف
خدای روزی رسان,فاطمه کلاته سیفری,,انتشارات برف
ابتکار - ۲۵ آذر ۱۳۹۵,,,روزنامه ابتکار
باریس گادونوف,الکساندر پوشکین,آبتین  گلکار,انتشارات شرکت کتاب هرمس
Death Note (Vol. 4),تسوگومی اوبا,,نشر معیار علم
The Archer,پائولو کوئیلو,,نشر معیار علم
داستان ها و افسانه های مردم فرانسه,جمعی از نویسندگان,فریبا جعفرزاده,ذکر
Brave New World,آلدس هاکسلی,,نشر معیار علم
The Return of Sherlock Holmes,آرتورکانن دویل,,نشر معیار علم
سرکار هاپو، زوزه وحش,دیو پیلکی,سهیل محمدیان,سایه گستر
The GodFather,ماریو پوزو,,نشر معیار علم
فرانکلین دوستش را می بیند,شارون جنینگز,شهره هاشمی,آبادیران
فرانکلین و قهرمان محبوب,شارون جنینگز,شهره هاشمی,آبادیران
جمهوری اسلامی - ۲۵ آذر ۱۳۹۵,,,روزنامه جمهوری اسلامی
اولین کتاب طراحی من (جلد سوم),گروه مولفان,قاسم عبداللهی,انتشارات عارف کامل
چگونه ویتگنشتاین بخوانیم,ری مانک,همایون کاکاسلطانی,نشر نی
سرمایه داری یا سوسیالیسم؟,آدام بوث,مسعود امیدی,گل آذين
آیین سخنرانی,دیل کارنگی,میترا کیوان مهر,نشر علم
سائو، هنر شمشیرزنی آنلاین (جلد دوم),رکی کاواهارا,ژاله فراهانی,نشر پیدایش
آموندسن,آلیس  مونرو,بهار اکبریان,نشر افق
The big book of BTS,کتی اسپرنکل,,آی آی کتاب
مدیریت وصول مطالبات و اعتبارسنجی مشتریان,پرویز درگی $ سعید محمدی,,انتشارات بازاریابی
یه دوست خوب قند و عسل,مریم اسلامی,,انتشارات چكه
جادوگران (جلد اول),لو گراسمن,اشکان کریمیان,نشر باژ
وطن امروز - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه وطن امروز
جادوی نظم ژاپنی,ماری کندو,هایده بریری,حوض نقره
هیاهو بر سر هیچ,محمدعلی موحد,,كارنامه
دلایل کامیابی برندهای برتر جهانی,پرویز درگی,,انتشارات بازاریابی
در عین حال,سوزان سونتاگ,رضا فرنام,نشر ثالث
مجموعه اشعار فروغ فرخزاد,فروغ فرخزاد,,انتشارات نگاه
شیر سیاه,الیف شافاک,مهسا علی کاهی,انتشارات جمهوری
نقاط قوت خود را بیابید,مارکوس باکینگهام $ دونالد کلیفتون,الهام خرسندی,انتشارات هورمزد
خرگوش سیاه,فیلیپا لدرز,مرضیه بابازاده خامنه,انتشارات فاطمی
قلب سبز شهر,میرا لوبه,فراز فرهودی‌فر,ایران‌بان
Kucuk Prens,آنتوان دوسنت اگزوپری,,نشر معیار علم
