name,author,translator,publisher
جادوهای همیشگی؛ جلد دوم,کریس کالفر,الهام فیاضی,انتشارات پرتقال
مقاومت مصالح (جلد اول),عبدالمجید جواهرزاده $ مهدی صمدزاد,,انتشارات دانشگاه تهران
سرگذشت استعمار (جلد هشتم: به دنبال کادی),مهدی میرکیایی,,نشر سماوا
رویکرد حل مسئله در درمان مشکلات جنسی (راهنمای درمانگر),جان وینکس,عطااله محمدی,انتشارات ارجمند
مقدمات نوروسایکولوژی,سیدسعید پورنقاش تهرانی,,انتشارات دانشگاه تهران
مقاومت مصالح (جلد دوم),عبدالمجید جواهرزاده $ مهدی صمدزاد,,انتشارات دانشگاه تهران
پیشرانه ها و مواد منفجره,نامینوسوکی کابوتا,نرگس زهری $ جمشید نجف پور $ علیرضا اکبر,انتشارات دانشگاه جامع امام حسین
مقابله با بیابان زایی و تخریب اراضی,یانگ یولین $ لارا اس. جین $ ویکتور اسکوایرز $ کیم کیونگ سو $ سو و پارک های $ پارک های مین,محمد جعفری $ فاطمه تقی زاده اصل,انتشارات دانشگاه تهران
روش های ریاضی در فیزیک (جلد اول),اسماعیل احمدی آذر,,انتشارات دانشگاه جامع امام حسین
قطعات نیمه هادی الکترونیک نوری (جلد دوم),پالاب بهاتاچاریا,شهرام محمدنژاد,انتشارات دانشگاه جامع امام حسین
قدس - یکشنبه ۲۳ آبان ۱۳۹۵,,,روزنامه قدس
روانخوانی فارسی اول ابتدایی,نفیسه خاکسار $ سمانه مشایخی,,انتشارات نور علم
ایمونولوژی و ورزش,لارل تی. مکینون,طاهره موسوی شبستری $ مجتبی عبداللهی,انتشارات دانشگاه جامع امام حسین
سرمایه گذاری در متاورس,متاورس .,سلیمه صدیقی,نشر کتاب مهربان
زمین شناسی مهندسی,حسن صادقی,,انتشارات دانشگاه جامع امام حسین
رهایی از میگرن,داون ا. مارکوس,مرضیه بابایی,انتشارات ارجمند
سازماندهی و سازمان رزم و تحولات آن در تاریخ اسلام,اصغر قائدان,,انتشارات دانشگاه جامع امام حسین
مهندسی ابرسیستم ها,رنی استیونس,حسینعلی حسن پور $ مصطفی زارعی $ عباس طهماسبی $ هاتف فتوحی,انتشارات دانشگاه جامع امام حسین
مقدمه ای بر آکوستیک,هاینریش کوتروف,امیرمسعود عباسی,انتشارات دانشگاه تهران
طاعون,آلبر کامو,پرویز شهدی,انتشارات مجید
Prevention of blood diseases,سام ترابی گودرزی,,انتشارات اردوی سوره
ایران - ۱۳۹۵ يکشنبه ۲۳ آبان,,,روزنامه ایران
