name,author,translator,publisher
روزنامه سازندگی ـ شماره ۲۹۶ ـ ۱۶ بهمن ۹۷,,,روزنامه سازندگی
زندگی‌نامه تصویری آلبرت اینشتین,تری واتسون,مجید عاطفی,دانش نگاران برنا
اولین پنجشنبه: مروری بر زندگی و آثار «ام‌کلثوم» خواننده‌ی بزرگ مصر به همراه ده ترانه‌ی او (فارسی ـ عربی),,محسن ابوالحسنی,بوتیمار
قُلُب قُلُب آب؛ ماهی و قلاب (جلد پنجم),مهری ماهوتی,,نشر سماوا
قار و قار و قار؛ کلاغ و مار (جلد ششم),مهری ماهوتی,,نشر سماوا
لاک‌پشت پرنده (جلد هفتم),مهری ماهوتی,,نشر سماوا
بی‌اهمیت‌ها و با‌اهمیت‌ها,خولیو کورتاسار,نوشین جعفری,کارگاه اتفاق
شهروند - ۱۳۹۷ سه شنبه ۱۶ بهمن,,,روزنامه شهروند
انقلابی می‌مانم,,,انتشارات زائر رضوی
از دورآموزی تا یادگیری الکترونیکی (درس‌هایی که آموختیم),,محمد عطاران $ زینب گلزاری,انتشارات مولفین طلایی
طراحی بازی آموزشی رایانه‌ای,زینب گلزاری,,انتشارات مولفین طلایی
رمز خلاقیت؛ شش مهارت اصلی کارآفرینان خلاق (خلاصه کتاب),امی ویلکینسون,,سبکتو
دوهفته‌نامه همشهری دانستنیها ـ شماره ۲۲۱ ـ نیمه اول بهمن ماه ۹۷,,,مجله دانستنیها
ایران - ۱۳۹۴ يکشنبه ۲۶ مهر,,,روزنامه ایران
روزنامه اقتصاد برتر ـ شماره ۴۲۱ ـ ۱۷ بهمن ۹۷,,,روزنامه اقتصاد برتر
صبح نو ـ شماره ۶۵۱ ـ چهارشنبه ۱۷ بهمن ۹۷,,,روزنامه صبح نو
کیهان - چهارشنبه ۱۷ بهمن ۱۳۹۷,,,روزنامه کیهان
آرمان - ۱۳۹۷ چهارشنبه ۱۷ بهمن,,,روزنامه آرمان ملی
