name,author,translator,publisher
شهروند - ۱۳۹۵ چهارشنبه ۳ شهريور,,,روزنامه شهروند
۲۰+۵ شاعر، ۵+۲۰ نقد (دفتر دوم),محمدتقی قشقایی,,انتشارات نظری
مرگ عشق نزدیک است,نازیلا فرهیخته,,انتشارات نظری
دختران آسمان,مریم اسدی,,انتشارات نظری
آموزش اخلاق، رفتار اجتماعی و قانون پذیری به کودکان (راهنمای عملی),مسعود جان بزرگی $ ناهید نوری $ مژگان آگاه هریس,,انتشارات ارجمند
چی چی، قاشق و قیچی,علی خدایی,,کانون پرورش فکری کودکان و نوجوانان
دوماهنامه تخصصی فرهنگ دیپلماسی ـ شماره اول ـ شهریور و مهر ۱۳۹۸,,,دو ماهنامه فرهنگ دیپلماسی
دانه و هندوانه,اسد اسحاقی,,کانون پرورش فکری کودکان و نوجوانان
جبرخطی عددی و کاربردها,بیسوا نات داتا,مریم شمس سولاری,انتشارات دانشگاه پیام نور
مبانی عرفان نظری,سعید رحیمیان,,انتشارات سمت
تاریخ ادبیات ۲,مریم حیدری $ ابراهیم واشقانی فراهانی $ فرشته محجوب عشرت‌آبادی,,انتشارات دانشگاه پیام نور
راهنمای عملی رواقی زیستن,ویلیام اروین,شادی نیک‌رفعت,نشر گمان
دوماهنامه تخصصی فرهنگ دیپلماسی ـ شماره دوم ـ آبان و آذر ۱۳۹۹,,,دو ماهنامه فرهنگ دیپلماسی
دایره المعارف گیاهان دارویی,جواد کرمعلی,,انتشارات الهام نور
طب سنتی,جواد کرمعلی,,انتشارات الهام نور
شیوه های نوین روانشناسی کودک و نوجوان (۳ تا ۱۸ سال),ج‍ان‌ گ‍ری‌,طیبه احمدی جاوید,انتشارات الهام نور
خورد و خوراک دیکتاتورها,ویتولد شابوفسکی,مسعود یوسف حصیرچین,نشر گمان
واقع گرایی سرمایه دارانه,م‍ارک‌ ف‍ی‍ش‍ر,ريحانه عبدي,نشر گمان
دوماهنامه تخصصی فرهنگ دیپلماسی ـ شماره سوم ـ اسفند ۱۳۹۹ و فروردین ۱۴۰۰,,,دو ماهنامه فرهنگ دیپلماسی
مبادی سواد بصری,دنیس ای. داندیس,محمدحامد مسیح تهرانی,انتشارات سروش دانش
ایلیا، تولد یک قهرمان؛ ۱۱,امین توکلی,,نشر رویاپردازان نسل آینده
اتوبوس انرژی,جان گوردون,فریبا جعفری,انتشارات ماه آوا
آفرینش سلامتی,لوئیز هی,مهدی قراچه‌داغی,انتشارات ماه آوا
خونسرد باش,آقاضیاء احمدی شهربابک,,انتشارات جامعه پژوهی
پشت این آسمان پر از نشانی‌هاست,کیوان اصلاح‌پذیر,,انتشارات آوند اندیشه
بازیگری به زبان ساده,سونیا فرهادآبادی,,انتشارات جامعه پژوهی
تخم شر,بقلیس سلیمانی,,انتشارات ماه آوا
چطور از خودم راضی باشم,آندریا اون,مینا محمودی,انتشارات ماه آوا
ایلیا، تولد یک قهرمان؛ ۱۲,امین توکلی,,نشر رویاپردازان نسل آینده
دوماهنامه تخصصی فرهنگ دیپلماسی ـ شماره چهارم ـ مهر و آبان ۱۴۰۰,,,دو ماهنامه فرهنگ دیپلماسی
جامعه شناسی تربیت بدنی و ورزش,مهربان پارسامهر,,انتشارات جامعه پژوهی
جامعه شناسی قشرها و نابرابری های اجتماعی,مهربان پارسامهر,,انتشارات جامعه پژوهی
هم سفر آتش و برف,فرهاد خضری,,انتشارات روایت فتح
مکالمه زبان انگلیسی + گرامر در ۶۰ روز (دوره متوسطه تا فوق پیشرفته),بهنام محقق,,انتشارات جاودانه
هفته‌نامه تماشاگران امروز ـ شماره ۱۱۶ـ ۶  شهریور,,,تماشاگران امروز
مادری که کم داشتم,جاسمین لی کوری,فهیمه سادات کمالی,انتشارات ترجمان علوم انسانی
آموزش زبان انگلیسی ویژه بزرگسالان سطح پایه در ۶۰ روز,بهنام محقق,,انتشارات جاودانه
آشنایی با اصول و مبانی برند و مدیریت برند,مهسا محمودی مشائی $ محمدرضا همایی $ محمد افشاری $ زینب رضایی,,نشر عطران
ورزش و کرونا (ورزش مدارس در شرایط کرونا),فرحناز قاسمیان,,انتشارات جامعه پژوهی
مبانی گام به گام متاورس,عباس علاف‌صالحی,,نشر عطران
فصلنامه ترجمان علوم انسانی ـ شماره ۲۲ ـ بهار ۱۴۰۱,,,فصلنامه ترجمان علوم انسانی
چند کنکور رشته ریاضی؛ جلد سوال (کنکور ۱۴۰۲),,,انتشارات خیلی سبز
چند کنکور رشته تجربی؛ جلد پاسخ (کنکور ۱۴۰۲),,,انتشارات خیلی سبز
روان شناسی عمومی (جلد ۱),احمد علامه فلسفی,,انتشارات فراروان‌شناسی
خواب و بیدار (جلد اول),مهرالسادات محمودیان,,انتشارات حدیث راه عشق
جمع بندی فیزیک ریاضی (کنکور),نوید شاهی $ امین امینی $ مهدی براتی,,انتشارات خیلی سبز
مجموعه کتابای فصل آزمون؛ شیمی جامع (دهم، یازدهم، دوازدهم),,,انتشارات خیلی سبز
فارسی عمومی کاربردی,شیوا حیدری $ مجید درویش,,انتشارات نظری
مجموعه کتابای فصل آزمون؛ فیزیک جامع رشته تجربی (دهم، یازدهم و دوازدهم),,,انتشارات خیلی سبز
سیاه و سفیدترین روز هفته,محسن رجبی,,انتشارات نظری
بحران آب در ایران و جهان و اهمیت آب در قرآن کریم,محمدمسعود بهمنی $ مرتضی بهمنی,,انتشارات نظری
مجموعه کتابای فصل آزمون؛ فیزیک جامع رشته ریاضی (دهم، یازدهم و دوازدهم),,,انتشارات خیلی سبز
چند کنکور درس های عمومی؛ جلد سؤال (کنکور ۱۴۰‍۱),,,انتشارات خیلی سبز
روان‌شناسی عمومی (جلد۲),احمد علامه فلسفی,,انتشارات فراروان‌شناسی
چند کنکور درس های عمومی؛ جلد پاسخ (کنکور ۱۴۰۱),,,انتشارات خیلی سبز
چند کنکور رشته ریاضی؛ جلد پاسخ (کنکور ۱۴۰۲),,,انتشارات خیلی سبز
مجموعه کتابای فصل آزمون؛ علوم و فنون ادبی جامع,,,انتشارات خیلی سبز
چهار پیمان,دون میگوئل روئیز,سهیلا میرزایی‌پور,انتشارات ماه آوا
قانون جذب در روابط,مایکل لوسیر,فریده همتی,انتشارات ماه آوا
مهندسی زبان بدن,پویا ودایع,,انتشارات ماه آوا
سه پرسش (کتاب خرد),دون میگوئل روئیز,فرزام  حبیبی,انتشارات ماه آوا
تست پذیرش کارخانه و سایت,محمدجعفر حسینی‌شیرازی,,موسسه آموزشی تالیفی ارشدان
روان شناسی عمومی (جلد۳),احمد علامه فلسفی,,انتشارات فراروان‌شناسی
سیمای جاویدان بزرگان شعر و ادب و فرهیختگان زبان فارسی,سیروس اسعدی,,انتشارات نظری
آرامش دل ها با یاد مرگ و معاد,سیدعبدالله شبر,مینا جیگاره,انتشارات نظری
من بابی ساندز نیستم,ایرج افشاری اصل,,انتشارات نظری
مجله نسیم بیداری ـ شماره ۸۹ و ۹۰ ـ نوروز ۱۳۹۸,,,مجله سیاسی-تاریخی نسیم بیداری
مجله نسیم بیداری ـ شماره ۸۸ ـ بهمن ۱۳۹۷,,,مجله سیاسی-تاریخی نسیم بیداری
مجله نسیم بیداری ـ شماره ۸۷ ـ آذر ۱۳۹۷,,,مجله سیاسی-تاریخی نسیم بیداری
مجله نسیم بیداری ـ شماره ۸۶ ـ آبان ۱۳۹۷,,,مجله سیاسی-تاریخی نسیم بیداری
روزنامه سراسری خوزی ها ـ شماره ۳۳۱ ـ دوشنبه ۲۹ فروردین ماه ۱۴۰۱,,,روزنامه خوزی ها
واژه نامه تخصصی اقتصاد سلامت,حسین مشیری تبریزی $ میرحجت نجفی‌نسب,,انتشارات نور علم
روان شناسی عمومی (جلد۴),احمد علامه فلسفی,,انتشارات فراروان‌شناسی
ایران! جوان بمان!,محسن عباسی ولدی,,انتشارات آیین فطرت
ایران - ۲۹ فروردین ۱۴۰۱,,,روزنامه ایران
خراسان - ۱۴۰۱ دوشنبه ۲۹ فروردين,,,روزنامه خراسان
جوان - دوشنبه ۲۹ فروردين ۱۴۰۱,,,روزنامه جوان
ابتکار - ۲۹ فروردین ۱۴۰۱,,,روزنامه ابتکار
وطن امروز - ۱۴۰۱ دوشنبه ۲۹ فروردين,,,روزنامه وطن امروز
ایران ورزشی - ۱۴۰۱ دوشنبه ۲۹ فروردين,,,روزنامه ایران ورزشی
حقوق شرکت های تجاری,محمدرضا پاسبان,,انتشارات سمت
تصویر انقلاب اسلامی در گام اول,عبداالله مرادی $ محسن محمدی خانقاهی,,دانشگاه و پژوهشگاه عالی دفاع ملی
حقوق رسانه,باقر انصاری,,انتشارات سمت
روان‌شناسی عمومی (جلد ۵),احمد علامه فلسفی,,انتشارات فراروان‌شناسی
قواعد فقه (۲) بخش جزا,خلیل قبله‌ای خویی,,انتشارات سمت
کم توانی ذهنی در گستره زندگی,قربان همتی علمدارلو $ فاطمه ترابی $ محمد عاشوری,,انتشارات سمت
داستان های شاهنامه و فلسفه برای کودکان,یحیی قائدی $ علی حمیدی,,نشر آواهیا
زبان شناسی چامسکیای و رقیبان آن,پیوس تن هاکن,پارسا بامشادی,انتشارات سمت
آشپزی مانا,راضیه متقی‌زاده,,انتشارات همخونه
اثبات قتل با یافته های پزشکی در مذاهب فقهی و حقوق,زهرا یوسفی مصری,,انتشارات گنجینه مهر ماندگار
آنچه زنان دوست دارند بشنوند ولی مردان دوست ندارند بگویند,باب برکوویتز $ راجر گیتینز,اکرم شکرزاده,انتشارات همخونه
کجایی,عارفه  لک,,نوین کتاب گویا
از حصار,محمود درویش,شهرام صفی‌زاده,انتشارات متخصصان
یک کربلا عطش,سیدرضا موید,,موسسه هلال
جهان اقتصاد - شنبه ۱۹ اردیبهشت ماه ۱۳۹۴,,,روزنامه جهان اقتصاد
کتابگرد ۳۸ | نوید پورمحمدرضا,,,پادکست کتابگرد
اصول طراحی نرم افزارهای کتابخانه ای,اسماعیل وزیری $ منصوره فیض‌آبادی,,انتشارات سمت
قانون کارما,آتمان این راوی,ویدا لطفی قیداری,نوین کتاب گویا
ژنرال جنوبی اهل بیگ سور,ریچارد براتیگان,رضا نوحی,نوین کتاب گویا
راز فال ورق,یوستین گوردر,عباس مخبر,نوین کتاب گویا
هفته نامه غیر برخط اراده ملت ـ شماره ۳۶ ـ ۲۹ فروردین ۱۴۰۱,,,هفته‌نامه اراده ملت
پدرو پارامو,خوآن رولفو,کیومرث پارسای,واوخوان
تضادهای درونی ما,کارن هورنای,محمد جعفر مصفا,واوخوان
آمار استنباطی پایه در علوم تربیتی با تکیه بر نرم افزار SPSS,علیرضا کیامنش,,انتشارات سمت
راهنمای جامع چوب، چوب به عنوان ماده ای مهندسی (جلد اول),مهدی فائزی‌پور $ حسین جلالی ترشیزی,,انتشارات دانشگاه شهید بهشتی
اسرار زبان بدن,احمد علامه فلسفی,,انتشارات فراروان‌شناسی
راهنمای جامع چوب، چوب به عنوان ماده ای مهندسی (جلد دوم),مهدی فائزی‌پور $ حسین جلالی ترشیزی,,انتشارات دانشگاه شهید بهشتی
دیوان اشعار ثامن (ع),شعبانعلی کریمی عروس محله‌ای,,انتشارات گنجینه مهر ماندگار
زندگی میدان جنگ است,راسل سیمونز,ریحانه  توکلی $ جلال  طحان,واوخوان
انتقام از شیاطین (جلد اول),مهدی سوادکوهی,,انتشارات متخصصان
وایو در سرزمین آناهید (جلد دوم),سمانه پناهی,,انتشارات نگار تابان
رنسانس دایت,مایک اسرایتل $ ملیسا دیویس $ جیمز هافمن,راحیل سهراب‌پور,بین المللی شمس
ویلف ترسوی بزرگ (جلد سوم),جرجیا پریچت,لیدا هادی $ ویدا هادی,انتشارات کتاب پارک
راسپوتین فلکه پنجم,اردشیر نورایی,,نشر میترا آقاکوچک
همیشه با من بمان,لیز کسلر,شهلا انتظاریان,واوخوان
خراسان - ۱۳۹۵ پنج شنبه ۴ شهريور,,,روزنامه خراسان
شیدایی,ساد گورو,فرهود مذهبی‌فرد,نوین کتاب گویا
وامق و عذرا,محمدحسین حسینی‌شیرازی,,نوین کتاب گویا
انگشتر فیروزه,زهرا اخوان پاکدهی,,انتشارات ندای الهی
بازاریابی و فروش تجهیزات پزشکی,محمدجعفر حسینی‌شیرازی,,موسسه آموزشی تالیفی ارشدان
شرح درد اشتیاق (دفتر اول و دوم),محمدحسین مکارم,,انتشارات به‌نگار
گام به گام با شاهنامه فردوسی (جلد اول),مهران امینی,,انتشارات ارشک
گام به گام با شاهنامه فردوسی (جلد دوم),مهران امینی,,انتشارات ارشک
کیهان - پنجشنبه ۰۴ شهريور ۱۳۹۵,,,روزنامه کیهان
شرح درد اشتیاق (دفتر سوم و چهارم),محمدحسین مکارم,,انتشارات به‌نگار
گام به گام با شاهنامه فردوسی (جلد سوم),مهران امینی,,انتشارات ارشک
شرح درد اشتیاق (دفتر پنجم و ششم),محمدحسین مکارم,,انتشارات به‌نگار
گام به گام با شاهنامه فردوسی (جلد چهارم),مهران امینی,,انتشارات ارشک
گام به گام با شاهنامه فردوسی (جلد پنجم),مهران امینی,,انتشارات ارشک
گام به گام با شاهنامه فردوسی (جلد ششم),مهران امینی,,انتشارات ارشک
گام به گام با شاهنامه فردوسی (جلد هفتم),مهران امینی,,انتشارات ارشک
کوچه باغ هنر و اندیشه ـ شماره ۹ ـ اردیبهشت ۱۴۰۱,,,نشریه کوچه باغ هنر و اندیشه
دو فصل نامه فرهنگی تقریرات ـ شماره ۱۱ ـ زمستان ۱۴۰۰,,,دوفصلنامه تقریرات
جوان - پنجشنبه ۰۴ شهريور ۱۳۹۵,,,روزنامه جوان
روزنامه سراسری خوزی ها ـ شماره ۳۳۲ ـ سه شنبه ۳۰ فروردین ماه ۱۴۰۱,,,روزنامه خوزی ها
مرور سریع بر کودکان، قلب، هماتولوژی، غدد، پوست و تکامل,,,انتشارات رزیدنت یار
مجموعه سوالات بورد فوق تخصص رشته داخلی سال 1400,پدرام بیگوند,,انتشارات رزیدنت یار
بازی با کودک,زهراسادات جلالی‌نژاد,,انتشارات همخونه
باشگاه پنج صبحی ها,رابین شارما,فرشته مهری,انتشارات همخونه
دختر بهشتی,حمیدرضا یعقوبی آوینی,,انتشارات همخونه
پایان غم ها,محمد تهرانی,,انتشارات همخونه
پس از نان,بابک عارفی,,انتشارات همخونه
تامل و مروری بر روانشناسی در ورزش,کمال نادری امیری,,انتشارات همخونه
تسنیم,بتول نژاد علیرضایی,,انتشارات همخونه
ابتکار - ۰۴ شهریور ۱۳۹۵,,,روزنامه ابتکار
تغذیه کودکان,فرشته مهری,,انتشارات همخونه
تهمت و افترا,سیده راضیه (آتنا) طلاپور,,انتشارات همخونه
ثمین,مرضیه زارع,,انتشارات همخونه
جدال عشق و سرنوشت,زهرا همتی,,انتشارات همخونه
جستاری نیک در نامه ای نیک,شاپور شمسایی لشکریانی,,انتشارات همخونه
جملات کوتاه فلسفی,فرهاد مشرقی آذر,,انتشارات همخونه
چگونه مردان را به گوش دادن وادار کنیم؟,جان گری,سمیرا سلمانی گیوی,انتشارات همخونه
جمهوری اسلامی - ۰۴ شهریور ۱۳۹۵,,,روزنامه جمهوری اسلامی
خانه داری,نگار صادقی,,انتشارات همخونه
داریوش کبیر,جاکوب ابات,سمیه موحدی‌فرد,انتشارات همخونه
دختر می خواهید یا پسر,فرشته مهری,,انتشارات همخونه
گاهنامه درفش ـ شماره ۱۴ ـ فروردین ۱۴۰۱,,,نشریه درفش
ایران - ۳۰ فروردین ۱۴۰۱,,,روزنامه ایران
خراسان - ۱۴۰۱ سه شنبه ۳۰ فروردين,,,روزنامه خراسان
جوان - سه‌شنبه ۳۰ فروردين ۱۴۰۱,,,روزنامه جوان
ابتکار - ۳۰ فروردین ۱۴۰۱,,,روزنامه ابتکار
مردم‌سالاری - ۱۳۹۵/۰۶/۰۴,,,روزنامه مردم سالاری
وطن امروز - ۱۴۰۱ سه شنبه ۳۰ فروردين,,,روزنامه وطن امروز
ایران ورزشی - ۱۴۰۱ سه شنبه ۳۰ فروردين,,,روزنامه ایران ورزشی
گلگشتی در شعر و اندیشه سنایی,مریم حسینی,,انتشارات سمت
حقیقتی گم شده است، همه رنگ ها را بگردید,آوا نیکوکار,,انتشارات نسل روشن
تعلیم و تربیت، فلسفه و محیط اخلاقی,گراهام هیدن,انسی کرامتی $ روشنک آذری,انتشارات سمت
تربیت اخلاقی کودک و نوجوان با تاکید بر رویکرد اسلامی,افضل السادات حسینی $ سمیرا حیدری,,انتشارات سمت
دیوان حماسه عاشورا,محمدحسین آیتی,,موسسه فرهنگی راه روشن هدایت
گنجینه روایات پزشکی,محمدجواد واعظی,,انتشارات ائمه
دوماهنامه تخصصی فرهنگ دیپلماسی ـ شماره پنجم ـ بهمن و اسفند ۱۴۰۰,,,دو ماهنامه فرهنگ دیپلماسی
ایران ورزشی - ۱۳۹۵ پنج شنبه ۴ شهريور,,,روزنامه ایران ورزشی
دیوونگی نکن,شادی داودی,,انتشارات شقایق
دانستنی های پزشکی,محمدجواد واعظی,,انتشارات نوید حکمت
چگونه فرزندانی سالم و بانشاط داشته باشیم,وین دایر,علی علی‌پناهی,نشر آسیم
خاطرات یک بزمجه,ارغوان اشترانی,,نشر مفاهیم
چگونه فرزندانی خلاق داشته باشیم,وین دایر,علی علی‌پناهی,نشر آسیم
دانستنی های قرآنی,خسرو تقدسی‌نیا,,انتشارات ائمه
دست هایت را به من بده,سلاله امری,,انتشارات شقایق
چگونه فرزندانی موفق و سازنده داشته باشیم,وین دایر,علی علی‌پناهی,نشر آسیم
زندگی خوب,دیوید پچل اوانز,علی مفتخر,نشر آسیم
دانستنی های علمی,محمدجواد واعظی,,انتشارات نوید حکمت
ایران - ۱۳۹۵ پنج شنبه ۴ شهريور,,,روزنامه ایران
گربه بلیتس,رابرت وستال,مسعود امیرخانی,نوین کتاب گویا
بچه رزمری,آیرا لوین,محمد قائد,نوین کتاب گویا
حلزون های پسر,احمد  آرام,,نوین کتاب گویا
عمیق ترین پذیرش,جف فوستر,وحید مهدیخانی,نوین کتاب گویا
پیگیری در بازاریابی شبکه ای,کیت شرایتر $ تام شرایتر,ناردین مثنایی نجیبی,انتشارات فرشته
اصول نگرش,جان سي. مكسول,زهرا ابراهیمی اصل,انتشارات فرشته
تعیین جنسیت جنین,فاطمه تقدسی‌نیا,,انتشارات نوید حکمت
ایران - ۱۳۹۴ شنبه ۱۹ ارديبهشت,,,روزنامه ایران
شهروند - ۱۳۹۵ پنج شنبه ۴ شهريور,,,روزنامه شهروند
سفر دریایی با دن کیشوت,توماس مان,محمود حدادی,نشر نو
زودآموز آب و فاضلاب؛ همه چیز درباره تصفیه خانه آب,حمیدرضا قایدی,,نشر عطران
نبرد با اژدهای درون,جی اشنوس,زهرا محمدخانی,انتشارات کنکاش
زیبا اندیشی و مهارت های زندگی,نامیه گلستانه $ حسین بهلولی,,انتشارات کنکاش
تاریخ ادبیات ۳,احترام رضایی $ فرشته محجوب,,انتشارات دانشگاه پیام نور
مقدمه ای بر روانشناسی اسلامی تجربی,مهرداد کلانتری,,انتشارات کنکاش
جهان صنعت -  ۰۴ شهریور ۱۳۹۵,,,روزنامه جهان صنعت
مجله علمی شهرسازی ایران ـ شماره ۸ ـ بهار و تابستان ۱۴۰۱,,,انتشارات شهرسازی
نگرش همه چیز است,جف کلر,کتایون دانشمند $ احسان کاظم,آوانامه
مجموعه مقالات و مکاتبات در رابطه با چالش ها و آینده دانشگاه,عبدالرضا فروغی مبارکه,,انتشارات کنکاش
معادن سنگ دولومیت و موارد استفاده آن در صنایع مختلف,سیدمحمدرضا سهل‌آبادی $ طاهره زرگر,,انتشارات کنکاش
یک قدم تا موفقیت در مسابقات حفظ قرآن,مهدی پریزاد,,انتشارات گنجینه مهر ماندگار
وایو در سرزمین ارفلون (جلد سوم),سمانه پناهی,,انتشارات نگار تابان
امام حسین (ع) و احیای حقیقت دین,سیدعبدالوهاب مومنی تنکابنی واعظ,,میراث  ماندگار
ده مجلس,سیدعبدالوهاب مومنی تنکابنی واعظ,,انتشارات گنجینه مهر ماندگار
اعتماد - ۱۳۹۵ پنج شنبه ۴ شهريور,,,روزنامه اعتماد
رشحات آسمانی,سیدعبدالوهاب مومنی تنکابنی واعظ,,انتشارات گنجینه مهر ماندگار
خاستگاه ایده‎ ها و اندیشه های ناب,استیون جانسون,حمیده  رستمی,انتشارات لیوسا
ماهنامه شبکه ـ شماره ۲۵۰ ـ اسفند ۱۴۰۰,,,ماهنامه شبکه
زنان، خورد و خوراک، معنویت,جنین راث,حمیده  رستمی,انتشارات لیوسا
سه میمون,نوری بیلگه جیلان $ ابرو جیلان $ ارجان کسال,پئریکا گلیاری $ پدرام رمضانی,چتر فیروزه
ماهنامه شبکه ـ شماره ۲۵۱ ـ فروردین 1401,,,ماهنامه شبکه
هنر تاثیرگذاری و متقاعد کردن دیگران,نایل کسیدی,حمیده  رستمی,انتشارات لیوسا
