name,author,translator,publisher
عمق های اندیشه,رمضان صادقی مقدم $ نسیم کارخانه,,انتشارات نظری
فی النثر العباسی,سید محمدرضا خضری,,انتشارات سمت
در عرض یک سال به آنچه می خواهید دست پیدا کنید,جیسون هاروی,مهدی قراچه‌داغی,نشر آسیم
مدیریت مدرن و فناوری اطلاعات,جواد ونارچی $ مریم نیک اندیش $ سیده مریم طاهرزاده موسویان $ بهناز فیاضی,,نشر عطران
آموزش تکنیکال تریدینگ,علیرضا فرهبد,,نشر عطران
تخیلات روحی,جواهر حمیدی,,انتشارات نظری
هفته‌نامه کرگدن ـ شماره ۶ ـ ۱۱ خرداد ۹۵,,,هفته‌نامه کرگدن
اوتیسم,یوتا فریت,علیرضا آشوری,نشر افکار
آداب معاشرت برای همه,ماری میچل $ جان کور,ژاله طاهرنسب,نشر افکار
راه های موفقیت شغلی,محمدحسین جیگاره,,انتشارات نظری
آزادی,احسان نراقی,,نشر افکار
آنارشیسم,کالین وارد,محمودرضا عبداللهی,نشر افکار
هفته‌نامه کرگدن ـ شماره ۷ ـ ۱۸ خرداد ۹۵,,,هفته‌نامه کرگدن
هرکول و آغل آوگیاس,فریدریش  دورنمات,میرحمید عمرانی,انتشارات مهراندیش
تقدیر,یلدا خلخالی,,انتشارات نظری
مادرها شاعر می شوند,زهرا محمدی,,انتشارات نظری
عشق و انتظار,جواهر حمیدی,,انتشارات نظری
هیچ کس تا بی نهایت,آرزو پناهی,,انتشارات نظری
شهروند - ۱۳۹۴ شنبه ۱۹ ارديبهشت,,,روزنامه شهروند
هفته‌نامه کرگدن ـ شماره ۸ ـ ۲۵ خرداد ۹۵,,,هفته‌نامه کرگدن
نوشته های ماشین تحریر,تام هنکس,سلمان ثابت,آوانامه
شور عشق (دفترچه خاطرات),نیکلاس اسپارکس,مهدی سجودی مقدم,انتشارات مهراندیش
زمین و آسمان,فاطمه ساعتچی,,انتشارات نظری
هفته‌نامه کرگدن ـ شماره ۹ ـ ۱ تیر ۹۵,,,هفته‌نامه کرگدن
هفته‌نامه کرگدن ـ شماره ۱۰ ـ ۸ تیر ۹۵,,,هفته‌نامه کرگدن
خاطرات مردم شناسان ایران,ژیلا مشیری,,نشر افکار
در باب آنارشیسم,نوآم چامسکی,رضا اسکندری,نشر افکار
آموزش گام به گام توابع و فرمول‌نویسی در اکسل,آرمان ری‌بد,,انتشارات طاهریان
زمستان در ماه جولای,دوریس لسینگ,علیرضا جباری,نشر افکار
زندگی ما,سبا مقدم,,نشر افکار
شاعران زمان عسرت,,مهدی زمانیان,نشر افکار
هفته‌نامه کرگدن ـ شماره ۱۱ ـ ۱۵ تیر ۹۵,,,هفته‌نامه کرگدن
عاشقی بود که صبحگاه دیر به مسافرخانه آمده بود,احمدرضا احمدی,,نشر افکار
انسانم آرزوست,محمدعلی یزدانی گزی,,انتشارات کنکاش
گلچینی از سخنان بزرگان,محمدعلی یزدانی,,انتشارات کنکاش
خدای هفده ساله,محدثه دلنواز,,نشر ایهام
تعریف و راهنمای هوش هیجانی,گروه آموزشی ام‌تی‌دی,طوبی مردانی,انتشارات کنکاش
نظریه‌ی بی‌کرانگی,سیامک وکیلی,,انتشارات آگاه
دایره المعارف تعریف واژه و اصطلاح فلسفه و منطق از دیدگاه فلاسفه و اندیشمندان,مسعودرضا یوحنائی,,نشر عطران
واژه نامه فشرده علوم اقتصادی,بهاره ملکی,,انتشارات کنکاش
مجله نسیم بیداری ـ شماره ۹۴ ـ نوروز ۱۳۹۹,,,مجله سیاسی-تاریخی نسیم بیداری
مجله نسیم بیداری ـ شماره ۹۶ ـ تیر و مرداد ۱۳۹۹,,,مجله سیاسی-تاریخی نسیم بیداری
هفته‌نامه کرگدن ـ شماره ۱۲ ـ ۲۲ تیر ۹۵,,,هفته‌نامه کرگدن
الگوی سیاست گذاری نمادهای اسلامی - ایرانی,حسین هنرور صدیقیان,,انتشارات رویش قلم
مجله نسیم بیداری ـ شماره ۹۳ ـ مهر ۱۳۹۸,,,مجله سیاسی-تاریخی نسیم بیداری
مرده ای به کشتن ما می آید,رسول یونان,احمد پوری,نشر افکار
مرگ آن را تلخ می نوشد,وجدی الکومی,کریم پورزبید,نشر افکار
ملاقات با انریکه لین,ماریو  بارگاس یوسا $ جان آپدایک $ روبرتو بولانیو $ یی یون لی,علیرضا کیوانی‌نژاد,نشر افکار
هفته‌نامه کرگدن ـ شماره ۱۳ ـ ۲۹ تیر ۹۵,,,هفته‌نامه کرگدن
نورپردازی سینما و ویدیو,بلین براون,رضا نبوی,نشر افکار
آشوب؛ نقاط عطف بحران برای ملت های بحران زده,اسز پرینت,هادی جلالی,انتشارات زی
بالاخره یه روزی قشنگ حرف می‌زنم,دیوید سداریس,پیمان خاکسار,رادیو گوشه
شناخت و تقویت مهارت های حرکتی در کودکان,لیزا آی کورتز,امیر قمرانی $ علیرضا حافظی $ محمد رضایی,انتشارات یار مانا
روش های سنجش بالینی انواع چاقی,زهره شانظری,,انتشارات یار مانا
هفته‌نامه کرگدن ـ شماره ۱۴ ـ ۵ مرداد ۹۵,,,هفته‌نامه کرگدن
خودشناسی,,,انتشارات یار مانا
رابطه عاطفی,محمد بی‌باک,,انتشارات یار مانا
روزنامه سراسری خوزی‌ها ـ شماره ۳۳۰ ـ یک‌شنبه ۲۸ فروردین‌ ماه ۱۴۰۱,,,روزنامه خوزی ها
در رهگذر جوانی مرا دریاب,سهیلا جعفری,,انتشارات آذرفر
جشن تکلیف ماریا کوچولو,زهرا شاهی الکران,,انتشارات آذرفر
وایو در سرزمین کیهانه (جلد اول),سمانه پناهی,,انتشارات نگار تابان
ایران - ۲۸ فروردین ۱۴۰۱,,,روزنامه ایران
خراسان - ۱۴۰۱ يکشنبه ۲۸ فروردين,,,روزنامه خراسان
جوان - يکشنبه ۲۸ فروردين ۱۴۰۱,,,روزنامه جوان
هفته‌نامه کرگدن ـ شماره ۱۵ ـ ۱۲ مرداد ۹۵,,,هفته‌نامه کرگدن
ابتکار - ۲۸ فروردین ۱۴۰۱,,,روزنامه ابتکار
وطن امروز - ۱۴۰۱ يکشنبه ۲۸ فروردين,,,روزنامه وطن امروز
ایران ورزشی - ۱۴۰۱ يکشنبه ۲۸ فروردين,,,روزنامه ایران ورزشی
نازنین,نصرت کارگر (غفاری),,انتشارات نظری
ردپا,زهره عرب سالاری,,انتشارات نظری
مجله نسیم بیداری ـ شماره ۹۲ ـ تیر ۱۳۹۸,,,مجله سیاسی-تاریخی نسیم بیداری
شک دارم این آیینه ها روراست باشند!,سیده‌شهره حقدوست‌اسکویی,,انتشارات نظری
مجله نسیم بیداری ـ شماره ۹۱ ـ اردیبهشت ۱۳۹۸,,,مجله سیاسی-تاریخی نسیم بیداری
ایران ورزشی - ۱۳۹۴ شنبه ۱۹ ارديبهشت,,,روزنامه ایران ورزشی
