name,author,translator,publisher
شهروند - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه شهروند
بهداشت کودک,میریام استوپارد,حمید سورگی $ ساسان واثق $ محمدرضا شگرف نخعی,انتشارات صابرین
شهروند - ۱۳۹۸ دوشنبه ۱۳ آبان,,,روزنامه شهروند
به انجام رساندن کارها,دیوید آلن,,نوین کتاب گویا
مدیریت هیجان,نسرین دانایی,,انتشارات سخن
مهارت های ارتباط مؤثر,نسرین دانایی,,انتشارات سخن
کلیدهای آموختن به کودکان درباره‌ی خدا,ایریس یاب $ مسعود حاجی‌زاده,,انتشارات صابرین
پدر پولدار پدر بی‌پول,رابرت کیوساکی,,نوین کتاب گویا
کلیدهای پرورش اعتماد به نفس در کودکان و نوجوانان,گلن استنهاوس,ناهید آزادمنش,انتشارات صابرین
بازی‌ها: روانشناسی روابط انسانی,اریک برن,اسماعیل فصیح,نوین کتاب گویا
وقتی که فرزندان باهوش نمره های کم‌ می گیرند!,سیلویا ریم,ناهید آزادمنش,انتشارات صابرین
قانون - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه قانون
کلیدهای تربیت فرزند قدرشناس,امی‌مک کریدی,اکرم کریم,انتشارات صابرین
هدیه ای از فرشته مادر,زهرا سینایی (راحیل),,انتشارات صابرین
تسلا مردی فراتر از زمان,مارگارت چن,,نوین کتاب گویا
کتاب بزرگ بازی,دبرا وایز,منیره نادری,انتشارات صابرین
کلیدهای خلاقیت هنری در کودکان و نوجوانان,سوزان استرایکر $ سالی وارنر,اکرم  قیطاسی,انتشارات صابرین
کلیدهای آرام کردن کودک ناآرام,ویلیام سی‌یرز,ربابه مرتضوی,انتشارات صابرین
مدرسه‌ی دوست‌داشتنی من,مایکلین ماندی,برزو سریزدی,انتشارات صابرین
کلیدهای پرورش مهارت های اساسی زندگی در کودکان و نوجوانان,دروتی ریچ,اکرم  قیطاسی,انتشارات صابرین
چهل نکته‌ی کلیدی برای شیردادن به نوزاد,ویلیام سیزر $ مارتا سیزر,جواد میدانی,انتشارات صابرین
اعتماد - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه اعتماد
دیگر نگران نیستم!,کریستین ای. آدامز,برزو سریزدی,انتشارات صابرین
بهترین کلیدهای تغذیه برای کودک و نوجوان,کارولین مور $ رابرت شولمن $ می‌می کر,جواد میدانی,انتشارات صابرین
ورود به خانواده‌ جدید,ام. گری نیومن $ پاتریشیا رمانوسکی,فرناز فرود,انتشارات صابرین
نجات فرزند از تفکر منفی,تامار چنسکی,فرناز فرود,انتشارات صابرین
رسانه ها و بیداری اسلامی,مجتبی بابایی,,جام‌جم
پرورش مغز,تریسی پکم آلووی $ تیموتی ای پارکر,حسین سلیمانی,نوین کتاب گویا
تمرین نیروی حال,اکهارت  تله,فاطمه مشایخی,نوین کتاب گویا
تن آرامی یا ریلکسیشن,کیارش ساعتچی,,نوین کتاب گویا
ثروتمندترین مرد بابل,جورج سمیویل  کلاسون,محیا فراست,نوین کتاب گویا
خراسان - ۱۳۹۴ چهارشنبه ۲ دي,,,روزنامه خراسان
چگونه با هرکسی صحبت کنیم,لیل لوندز,مهدی قراچه‌داغی,نوین کتاب گویا
روزنامه اقتصاد برتر ـ شماره ۵۸۹ ـ ۱۴ آبان ۹۸,,,روزنامه اقتصاد برتر
راه مردم - سه شنبه ۱۴ آبان ۱۳۹۸,,,روزنامه راه مردم
خراسان - ۱۳۹۸ سه شنبه ۱۴ آبان,,,روزنامه خراسان
کیهان - سه‌شنبه ۱۴ آبان ۱۳۹۸,,,روزنامه کیهان
ابتکار - ۱۴ آبان ۱۳۹۸,,,روزنامه ابتکار
وطن امروز - ۱۳۹۸ سه شنبه ۱۴ آبان,,,روزنامه وطن امروز
در من برف می‌بارد,فائضه طیبات,,انتشارات پشتیبان
آنِ دیگری من,فاطمه وکیلی,,انتشارات پشتیبان
آشنایی با حروف عربی,یوسف صفی پور,,انتشارات پشتیبان
کیهان - چهارشنبه ۰۲ دی ۱۳۹۴,,,روزنامه کیهان
مسافران خورشید,رضا رستمی,,انتشارات صریر
مقصد پرواز ۱,رضا رستمی,,انتشارات صریر
مقصد پرواز ۲,رضا رستمی,,انتشارات صریر
مقصد پرواز ۳,رضا رستمی,,انتشارات صریر
یاس شکسته,رضا رستمی,,انتشارات صریر
بهار - ۱۳۹۸ سه شنبه ۱۴ آبان,,,روزنامه بهار
